Dataset: FiQA 
Encoder_name: ProsusAI-finbert 
Feature_type: cls
Batch_size: 50
Train mode: Epoch 1, loss 0.8477552719414234, f1 0.4844712460432985
Validation mode: Epoch 1, loss 0.7430166176387242, f1 0.5351150879785241
Train mode: Epoch 2, loss 0.7402047216892242, f1 0.5384396679176618
Validation mode: Epoch 2, loss 0.7137936864580426, f1 0.5535733729274932
Train mode: Epoch 3, loss 0.7240464687347412, f1 0.582397213228039
Validation mode: Epoch 3, loss 0.7005571978432792, f1 0.5543992751271233
Train mode: Epoch 4, loss 0.7077169343829155, f1 0.5965693479743686
Validation mode: Epoch 4, loss 0.69869464635849, f1 0.574897037062896
Train mode: Epoch 5, loss 0.690209299325943, f1 0.636230896056452
Validation mode: Epoch 5, loss 0.6979550634111676, f1 0.5801530087730916
Train mode: Epoch 6, loss 0.6836231052875519, f1 0.6300379262162702
Validation mode: Epoch 6, loss 0.6926813466208321, f1 0.5671323444866045
Train mode: Epoch 7, loss 0.6690254174172878, f1 0.6391179977070074
Validation mode: Epoch 7, loss 0.6910979322024754, f1 0.5789043726703373
Train mode: Epoch 8, loss 0.6617202498018742, f1 0.6428277078182202
Validation mode: Epoch 8, loss 0.6874240551676069, f1 0.5798460197002798
Train mode: Epoch 9, loss 0.6560723222792149, f1 0.6556347064289191
Validation mode: Epoch 9, loss 0.6853246263095311, f1 0.5821328581857812
Train mode: Epoch 10, loss 0.6492303721606731, f1 0.6578556341487376
Validation mode: Epoch 10, loss 0.6821209618023464, f1 0.5878883055892075
Train mode: Epoch 11, loss 0.6349130012094975, f1 0.6580225051286687
Validation mode: Epoch 11, loss 0.6839178885732379, f1 0.5875256238022524
Train mode: Epoch 12, loss 0.6332917436957359, f1 0.6688997102087231
Validation mode: Epoch 12, loss 0.6877124054091317, f1 0.5947048966842426
Train mode: Epoch 13, loss 0.6352222710847855, f1 0.6588661545873564
Validation mode: Epoch 13, loss 0.6777443034308297, f1 0.5963362284117001
Train mode: Epoch 14, loss 0.6275377552956343, f1 0.6732895156004863
Validation mode: Epoch 14, loss 0.6835596902029855, f1 0.5951752120194583
Train mode: Epoch 15, loss 0.6191739123314619, f1 0.6785599883993684
Validation mode: Epoch 15, loss 0.6798854981149945, f1 0.5872748916499683
Train mode: Epoch 16, loss 0.6171339191496372, f1 0.684632134150298
Validation mode: Epoch 16, loss 0.6773669634546552, f1 0.5925824954936209
Train mode: Epoch 17, loss 0.611653458327055, f1 0.6789863775191458
Validation mode: Epoch 17, loss 0.6761214307376316, f1 0.5988552920371893
Train mode: Epoch 18, loss 0.60754737816751, f1 0.6783147611728203
Validation mode: Epoch 18, loss 0.6816244891711644, f1 0.5925156368208505
Train mode: Epoch 19, loss 0.6021501179784536, f1 0.6793591180550096
Validation mode: Epoch 19, loss 0.6805876748902457, f1 0.5895881879107993
Train mode: Epoch 20, loss 0.6039967685937881, f1 0.6858585108861849
Validation mode: Epoch 20, loss 0.6833759546279907, f1 0.5953066130411669
