Dataset: FiQA 
Encoder_name: ProsusAI-finbert 
Feature_type: cls
Batch_size: 50
Train mode: Epoch 1, loss 0.8287559151649475, f1 0.501690123090525
Validation mode: Epoch 1, loss 0.7830157450267247, f1 0.5268612391193036
Train mode: Epoch 2, loss 0.7392944768071175, f1 0.5883576496367097
Validation mode: Epoch 2, loss 0.7590460096086774, f1 0.582377988863413
Train mode: Epoch 3, loss 0.7137735895812511, f1 0.608855337460696
Validation mode: Epoch 3, loss 0.741519170148032, f1 0.6068783068783069
Train mode: Epoch 4, loss 0.7045344524085522, f1 0.5975232198142414
Validation mode: Epoch 4, loss 0.7441977773393903, f1 0.6053137180245082
Train mode: Epoch 5, loss 0.6908331736922264, f1 0.6210063156921998
Validation mode: Epoch 5, loss 0.7369187303951809, f1 0.6081966018061721
Train mode: Epoch 6, loss 0.6802303604781628, f1 0.633637449567899
Validation mode: Epoch 6, loss 0.72662695816585, f1 0.6336934506535222
Train mode: Epoch 7, loss 0.6678969860076904, f1 0.626122803974383
Validation mode: Epoch 7, loss 0.7321276409285409, f1 0.6132253485847875
Train mode: Epoch 8, loss 0.6590297967195511, f1 0.6308653415496764
Validation mode: Epoch 8, loss 0.7208541589123862, f1 0.6266206272865539
Train mode: Epoch 9, loss 0.6585217267274857, f1 0.6328286418420039
Validation mode: Epoch 9, loss 0.7234072855540684, f1 0.6297685055912349
Train mode: Epoch 10, loss 0.6475575342774391, f1 0.6411406174820431
Validation mode: Epoch 10, loss 0.7064663980688367, f1 0.6244582883604549
Train mode: Epoch 11, loss 0.6435958743095398, f1 0.648411100015658
Validation mode: Epoch 11, loss 0.7257569858006069, f1 0.6321654174548673
Train mode: Epoch 12, loss 0.6391529329121113, f1 0.6435769978013038
Validation mode: Epoch 12, loss 0.7150688171386719, f1 0.6213136342724046
Train mode: Epoch 13, loss 0.6339886374771595, f1 0.6522628783649345
Validation mode: Epoch 13, loss 0.7083601312977927, f1 0.6105130249867092
Train mode: Epoch 14, loss 0.6259217225015163, f1 0.6683499598669878
Validation mode: Epoch 14, loss 0.6980714670249394, f1 0.6231939987375515
Train mode: Epoch 15, loss 0.6212340071797371, f1 0.6667680505375119
Validation mode: Epoch 15, loss 0.7026726135185787, f1 0.6403415425154555
Train mode: Epoch 16, loss 0.6126732006669044, f1 0.6651229651507171
Validation mode: Epoch 16, loss 0.7065856201308114, f1 0.6183804386669962
Train mode: Epoch 17, loss 0.6077505871653557, f1 0.6755450599628682
Validation mode: Epoch 17, loss 0.7035687650953021, f1 0.6358017684317193
Train mode: Epoch 18, loss 0.6107950434088707, f1 0.6717370378217501
Validation mode: Epoch 18, loss 0.7003788607461112, f1 0.6141067222379711
Train mode: Epoch 19, loss 0.6066030524671078, f1 0.6900393392955437
Validation mode: Epoch 19, loss 0.6901828944683075, f1 0.6331856575803751
Train mode: Epoch 20, loss 0.6028680503368378, f1 0.6779097105859533
Validation mode: Epoch 20, loss 0.6977449953556061, f1 0.6554737636345548
