Dataset: FiQA 
Encoder_name: ProsusAI-finbert 
Feature_type: cls_last
Batch_size: 50
Train mode: Epoch 1, loss 0.8084090240299702, f1 0.47342971734032235
Validation mode: Epoch 1, loss 0.7761140806334359, f1 0.5146182512421321
Train mode: Epoch 2, loss 0.7163774743676186, f1 0.5734461255012763
Validation mode: Epoch 2, loss 0.7624423333576748, f1 0.5708686171759813
Train mode: Epoch 3, loss 0.6863688677549362, f1 0.6169730250751181
Validation mode: Epoch 3, loss 0.7477525813238961, f1 0.5855229323942889
Train mode: Epoch 4, loss 0.6613231673836708, f1 0.630709595560094
Validation mode: Epoch 4, loss 0.7402539338384356, f1 0.5990867193179332
Train mode: Epoch 5, loss 0.6458372995257378, f1 0.6464853554448219
Validation mode: Epoch 5, loss 0.7271492012909481, f1 0.6085829451625177
Train mode: Epoch 6, loss 0.6298599317669868, f1 0.6405252438359927
Validation mode: Epoch 6, loss 0.7246129044464656, f1 0.6012092740906301
Train mode: Epoch 7, loss 0.6205566674470901, f1 0.6743023664068536
Validation mode: Epoch 7, loss 0.731226269687925, f1 0.5855087885692695
Train mode: Epoch 8, loss 0.6085974834859371, f1 0.6763482190185989
Validation mode: Epoch 8, loss 0.7205726504325867, f1 0.6096981401016163
Train mode: Epoch 9, loss 0.5895416662096977, f1 0.7008788483902987
Validation mode: Epoch 9, loss 0.7354622653552464, f1 0.5794425393221111
Train mode: Epoch 10, loss 0.5793684162199497, f1 0.709532158349187
Validation mode: Epoch 10, loss 0.7290093856198447, f1 0.6137785635560735
Train mode: Epoch 11, loss 0.5729360282421112, f1 0.709424334106028
Validation mode: Epoch 11, loss 0.7190194215093341, f1 0.6093487356645252
Train mode: Epoch 12, loss 0.5622150395065546, f1 0.7022584793970251
Validation mode: Epoch 12, loss 0.7173699651445661, f1 0.6098863951233029
Train mode: Epoch 13, loss 0.5504069533199072, f1 0.7300314188010898
Validation mode: Epoch 13, loss 0.7185203177588326, f1 0.5986734120100349
Train mode: Epoch 14, loss 0.5456271599978209, f1 0.7385695454014908
Validation mode: Epoch 14, loss 0.7154503677572522, f1 0.5994989922565
Train mode: Epoch 15, loss 0.5306709799915552, f1 0.7379358834685288
Validation mode: Epoch 15, loss 0.7142493213926043, f1 0.5975657918493559
Train mode: Epoch 16, loss 0.5248969178646803, f1 0.7473885698660103
Validation mode: Epoch 16, loss 0.7056754997798375, f1 0.6158389810028523
Train mode: Epoch 17, loss 0.5196075551211834, f1 0.7370632595270132
Validation mode: Epoch 17, loss 0.7105703566755567, f1 0.6087406465537226
Train mode: Epoch 18, loss 0.5139708667993546, f1 0.7395203268911094
Validation mode: Epoch 18, loss 0.7106585162026542, f1 0.6157309924932232
Train mode: Epoch 19, loss 0.5048349667340517, f1 0.753909339177318
Validation mode: Epoch 19, loss 0.7115035738263812, f1 0.6228289011815308
Train mode: Epoch 20, loss 0.49301996268332005, f1 0.7588567159641356
Validation mode: Epoch 20, loss 0.7157834470272064, f1 0.6115051415051415
