Dataset: FiQA 
Encoder_name: ProsusAI-finbert 
Feature_type: first
Batch_size: 50
Train mode: Epoch 1, loss 1.0210717283189297, f1 0.3328192555278738
Validation mode: Epoch 1, loss 0.9235408646719796, f1 0.34763341233929473
Train mode: Epoch 2, loss 0.9126197434961796, f1 0.4028079566516174
Validation mode: Epoch 2, loss 0.8947309170450483, f1 0.3986270327912556
Train mode: Epoch 3, loss 0.8643052093684673, f1 0.42622536582437237
Validation mode: Epoch 3, loss 0.8721374358449664, f1 0.4122154055896387
Train mode: Epoch 4, loss 0.8273789882659912, f1 0.45793058741803244
Validation mode: Epoch 4, loss 0.8550788334437779, f1 0.45581714499291454
Train mode: Epoch 5, loss 0.8046225719153881, f1 0.4885344134422243
Validation mode: Epoch 5, loss 0.8439344593456813, f1 0.46965452847805794
Train mode: Epoch 6, loss 0.7778073363006115, f1 0.516367291476318
Validation mode: Epoch 6, loss 0.8395914435386658, f1 0.4600451053134738
Train mode: Epoch 7, loss 0.7584524266421795, f1 0.5600059945511412
Validation mode: Epoch 7, loss 0.8361854893820626, f1 0.5103207367418229
Train mode: Epoch 8, loss 0.7423151880502701, f1 0.5637684412980012
Validation mode: Epoch 8, loss 0.8375330993107387, f1 0.5043519727975784
Train mode: Epoch 9, loss 0.7287151291966438, f1 0.5594363329834272
Validation mode: Epoch 9, loss 0.8253553935459682, f1 0.5431268803817824
Train mode: Epoch 10, loss 0.719177670776844, f1 0.571450287063996
Validation mode: Epoch 10, loss 0.8313469971929278, f1 0.5146218057610463
Train mode: Epoch 11, loss 0.7001886814832687, f1 0.5919430694608039
Validation mode: Epoch 11, loss 0.8207178456442696, f1 0.5280022303278117
Train mode: Epoch 12, loss 0.6908040978014469, f1 0.6082806859915255
Validation mode: Epoch 12, loss 0.8242075613566807, f1 0.512908268463824
Train mode: Epoch 13, loss 0.6789610683917999, f1 0.6246746403829985
Validation mode: Epoch 13, loss 0.8297700456210545, f1 0.5203206562266964
Train mode: Epoch 14, loss 0.6742922738194466, f1 0.6105820105820104
Validation mode: Epoch 14, loss 0.8370821816580636, f1 0.5362562710236572
Train mode: Epoch 15, loss 0.6697826907038689, f1 0.6245237945118848
Validation mode: Epoch 15, loss 0.8243924379348755, f1 0.5242292281150871
Train mode: Epoch 16, loss 0.6593077443540096, f1 0.6256815252040814
Validation mode: Epoch 16, loss 0.8279876964432853, f1 0.5448171605807074
Train mode: Epoch 17, loss 0.657820962369442, f1 0.626045520485525
Validation mode: Epoch 17, loss 0.8319182140486581, f1 0.5351428498611005
Train mode: Epoch 18, loss 0.6455593109130859, f1 0.6425548036074352
Validation mode: Epoch 18, loss 0.8352015955107552, f1 0.5190614845586591
Train mode: Epoch 19, loss 0.6377491317689419, f1 0.6430160855853625
Validation mode: Epoch 19, loss 0.8369505746023995, f1 0.5402460614375665
Train mode: Epoch 20, loss 0.6345060132443905, f1 0.6448118912443147
Validation mode: Epoch 20, loss 0.8392650144440787, f1 0.5485905553019647
