Dataset: FiQA 
Encoder_name: ProsusAI-finbert 
Feature_type: last
Batch_size: 50
Train mode: Epoch 1, loss 1.0085085108876228, f1 0.3477264788026599
Validation mode: Epoch 1, loss 0.8805290801184518, f1 0.4109514501116645
Train mode: Epoch 2, loss 0.9062924571335316, f1 0.4044824634118269
Validation mode: Epoch 2, loss 0.8503659963607788, f1 0.4633216477280122
Train mode: Epoch 3, loss 0.8561890609562397, f1 0.4439688098904187
Validation mode: Epoch 3, loss 0.8190278240612575, f1 0.4854144207774185
Train mode: Epoch 4, loss 0.829577375203371, f1 0.4659740172444346
Validation mode: Epoch 4, loss 0.8072247505187988, f1 0.5001600914808462
Train mode: Epoch 5, loss 0.8070866614580154, f1 0.48879721990074504
Validation mode: Epoch 5, loss 0.79029951776777, f1 0.5245545840608479
Train mode: Epoch 6, loss 0.7811883576214314, f1 0.5182172235633171
Validation mode: Epoch 6, loss 0.7846145459583828, f1 0.5358574988518491
Train mode: Epoch 7, loss 0.7689974084496498, f1 0.546708810364991
Validation mode: Epoch 7, loss 0.7749728645597186, f1 0.5640555453935736
Train mode: Epoch 8, loss 0.7549997754395008, f1 0.5456225860089665
Validation mode: Epoch 8, loss 0.7737601910318647, f1 0.5387210623915774
Train mode: Epoch 9, loss 0.7404265217483044, f1 0.5553168893456663
Validation mode: Epoch 9, loss 0.7805396914482117, f1 0.5595101438641752
Train mode: Epoch 10, loss 0.7286668941378593, f1 0.565790462738414
Validation mode: Epoch 10, loss 0.7662475619997297, f1 0.5499837621373779
Train mode: Epoch 11, loss 0.7163986414670944, f1 0.6007215775480413
Validation mode: Epoch 11, loss 0.7560960735593524, f1 0.5680310462403542
Train mode: Epoch 12, loss 0.7125938981771469, f1 0.6063429296409488
Validation mode: Epoch 12, loss 0.7593146051679339, f1 0.5544629819945238
Train mode: Epoch 13, loss 0.6986172571778297, f1 0.6089251526092059
Validation mode: Epoch 13, loss 0.744086001600538, f1 0.5671634477545807
Train mode: Epoch 14, loss 0.6977108381688595, f1 0.6077267384784195
Validation mode: Epoch 14, loss 0.760543772152492, f1 0.5726587052168447
Train mode: Epoch 15, loss 0.6776590161025524, f1 0.6464748846201892
Validation mode: Epoch 15, loss 0.7542504838534764, f1 0.549780080101686
Train mode: Epoch 16, loss 0.6770038343966007, f1 0.6405983622159327
Validation mode: Epoch 16, loss 0.750394948891231, f1 0.6110110110110111
Train mode: Epoch 17, loss 0.6654555387794971, f1 0.6498505898427638
Validation mode: Epoch 17, loss 0.7512866343770709, f1 0.5578606917995005
Train mode: Epoch 18, loss 0.6574588306248188, f1 0.6574786810313181
Validation mode: Epoch 18, loss 0.7564820902688163, f1 0.5931914828614973
Train mode: Epoch 19, loss 0.6532047279179096, f1 0.660787004279538
Validation mode: Epoch 19, loss 0.7497190577643258, f1 0.5565359953991811
Train mode: Epoch 20, loss 0.6487007439136505, f1 0.6638075121643766
Validation mode: Epoch 20, loss 0.7578899008887154, f1 0.569828085651484
