Dataset: FiQA 
Encoder_name: ProsusAI-finbert 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.0111754275858402, f1 0.32549095614457807
Validation mode: Epoch 1, loss 0.917749285697937, f1 0.3547809839603153
Train mode: Epoch 2, loss 0.9271414168179035, f1 0.3694268067602724
Validation mode: Epoch 2, loss 0.8797330515725272, f1 0.419510109339686
Train mode: Epoch 3, loss 0.8892326317727566, f1 0.40624038474057905
Validation mode: Epoch 3, loss 0.8517926846231733, f1 0.43473955754305543
Train mode: Epoch 4, loss 0.8552169986069202, f1 0.45441962360346366
Validation mode: Epoch 4, loss 0.8391633289200919, f1 0.4659923843396085
Train mode: Epoch 5, loss 0.8289688415825367, f1 0.4696864560301939
Validation mode: Epoch 5, loss 0.8272397007261004, f1 0.4530988690742304
Train mode: Epoch 6, loss 0.8071359135210514, f1 0.5115729271247329
Validation mode: Epoch 6, loss 0.8175800698144096, f1 0.4837995284812533
Train mode: Epoch 7, loss 0.7912218421697617, f1 0.5086001426933374
Validation mode: Epoch 7, loss 0.8009345190865653, f1 0.5183246801916117
Train mode: Epoch 8, loss 0.7779362685978413, f1 0.5118622201514653
Validation mode: Epoch 8, loss 0.7990992750440326, f1 0.48829011365116837
Train mode: Epoch 9, loss 0.7649978958070278, f1 0.5417583293479994
Validation mode: Epoch 9, loss 0.7956219060080392, f1 0.5354472899537277
Train mode: Epoch 10, loss 0.7517779804766178, f1 0.5606714846469615
Validation mode: Epoch 10, loss 0.7938888243266514, f1 0.5273703406750617
Train mode: Epoch 11, loss 0.7424421906471252, f1 0.5617126661090976
Validation mode: Epoch 11, loss 0.784436821937561, f1 0.5208918377019477
Train mode: Epoch 12, loss 0.7317461036145687, f1 0.573581457325079
Validation mode: Epoch 12, loss 0.78574081829616, f1 0.5355500821018063
Train mode: Epoch 13, loss 0.7221975885331631, f1 0.5980501971472769
Validation mode: Epoch 13, loss 0.7843630228723798, f1 0.534359344717885
Train mode: Epoch 14, loss 0.7130619809031487, f1 0.583077629902672
Validation mode: Epoch 14, loss 0.7811169454029628, f1 0.5518690998083623
Train mode: Epoch 15, loss 0.7077560573816299, f1 0.5979021773067282
Validation mode: Epoch 15, loss 0.7772540875843593, f1 0.5439262076278933
Train mode: Epoch 16, loss 0.7009368166327477, f1 0.6177018113945886
Validation mode: Epoch 16, loss 0.7737035325595311, f1 0.53692203727415
Train mode: Epoch 17, loss 0.6882269494235516, f1 0.6067218974780832
Validation mode: Epoch 17, loss 0.7751743282590594, f1 0.5775736417534806
Train mode: Epoch 18, loss 0.6833440586924553, f1 0.6245150519204324
Validation mode: Epoch 18, loss 0.7759432622364589, f1 0.5556481832343901
Train mode: Epoch 19, loss 0.6764570437371731, f1 0.6212978984985068
Validation mode: Epoch 19, loss 0.7864083307129996, f1 0.517727315717376
Train mode: Epoch 20, loss 0.6726068891584873, f1 0.6466315139251398
Validation mode: Epoch 20, loss 0.7739675045013428, f1 0.5562967971352014
