Dataset: FiQA 
Encoder_name: ProsusAI-finbert 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 0.9704299122095108, f1 0.3508148567287281
Validation mode: Epoch 1, loss 0.9326317650931222, f1 0.38535353535353534
Train mode: Epoch 2, loss 0.8932159915566444, f1 0.39400076474075335
Validation mode: Epoch 2, loss 0.9100597671100071, f1 0.4276339276339276
Train mode: Epoch 3, loss 0.8451641090214252, f1 0.4361724776198262
Validation mode: Epoch 3, loss 0.8956612604004996, f1 0.43816007680893776
Train mode: Epoch 4, loss 0.8166563771665096, f1 0.4913585254507174
Validation mode: Epoch 4, loss 0.8786964331354413, f1 0.4722028648857917
Train mode: Epoch 5, loss 0.7925655245780945, f1 0.49607456901215086
Validation mode: Epoch 5, loss 0.8710352608135769, f1 0.4597322218011873
Train mode: Epoch 6, loss 0.7762059606611729, f1 0.5233862124374462
Validation mode: Epoch 6, loss 0.864496784550803, f1 0.4982279731505737
Train mode: Epoch 7, loss 0.7605454288423061, f1 0.5354252470668419
Validation mode: Epoch 7, loss 0.8656927176884243, f1 0.5098303367096078
Train mode: Epoch 8, loss 0.7443638332188129, f1 0.5692907047506208
Validation mode: Epoch 8, loss 0.8602328385625567, f1 0.5055093266763748
Train mode: Epoch 9, loss 0.7352776676416397, f1 0.5735059501477182
Validation mode: Epoch 9, loss 0.8524492723601205, f1 0.5025148344430855
Train mode: Epoch 10, loss 0.7208609916269779, f1 0.5784062009044432
Validation mode: Epoch 10, loss 0.8525401949882507, f1 0.521115620666665
Train mode: Epoch 11, loss 0.7144393250346184, f1 0.5924822411692446
Validation mode: Epoch 11, loss 0.8444687128067017, f1 0.515884823756603
Train mode: Epoch 12, loss 0.7049045339226723, f1 0.606316050251977
Validation mode: Epoch 12, loss 0.8494544965880257, f1 0.518702285691754
Train mode: Epoch 13, loss 0.6952170543372631, f1 0.6064767156234893
Validation mode: Epoch 13, loss 0.8446041345596313, f1 0.5168581132891359
Train mode: Epoch 14, loss 0.6910852342844009, f1 0.6154265523429338
Validation mode: Epoch 14, loss 0.8387771674564907, f1 0.5083440215589917
Train mode: Epoch 15, loss 0.6803997233510017, f1 0.6112993117531474
Validation mode: Epoch 15, loss 0.8374314308166504, f1 0.5129329825987154
Train mode: Epoch 16, loss 0.6702484413981438, f1 0.6297641101945324
Validation mode: Epoch 16, loss 0.8434732556343079, f1 0.5173882802990785
Train mode: Epoch 17, loss 0.6643158197402954, f1 0.6266028233736134
Validation mode: Epoch 17, loss 0.8305255004337856, f1 0.5223631548854984
Train mode: Epoch 18, loss 0.6597398966550827, f1 0.6303050150608035
Validation mode: Epoch 18, loss 0.8317972591945103, f1 0.5142857142857142
Train mode: Epoch 19, loss 0.6575490161776543, f1 0.62905594841058
Validation mode: Epoch 19, loss 0.8428742119244167, f1 0.5185344381561876
Train mode: Epoch 20, loss 0.646065715700388, f1 0.6410639016103871
Validation mode: Epoch 20, loss 0.8315057413918632, f1 0.5383176833560709
