Dataset: FiQA 
Encoder_name: bert-base-uncased 
Feature_type: cls
Batch_size: 50
Train mode: Epoch 1, loss 1.0086345113813877, f1 0.2596164959285527
Validation mode: Epoch 1, loss 1.0064992904663086, f1 0.2298850574712644
Train mode: Epoch 2, loss 0.9879213534295559, f1 0.2589841313103782
Validation mode: Epoch 2, loss 1.0038887858390808, f1 0.23032629558541265
Train mode: Epoch 3, loss 0.965962540358305, f1 0.26571252961261016
Validation mode: Epoch 3, loss 0.9994686586516244, f1 0.23699296225207933
Train mode: Epoch 4, loss 0.9666727147996426, f1 0.2702211580534422
Validation mode: Epoch 4, loss 0.9813525336129325, f1 0.23743589743589746
Train mode: Epoch 5, loss 0.954122681170702, f1 0.2740104596751996
Validation mode: Epoch 5, loss 0.9765202573367527, f1 0.2575501992977721
Train mode: Epoch 6, loss 0.9444599412381649, f1 0.30435591040392374
Validation mode: Epoch 6, loss 0.9712928107806614, f1 0.2512680747974866
Train mode: Epoch 7, loss 0.9296789914369583, f1 0.3211483928545724
Validation mode: Epoch 7, loss 0.9598499110766819, f1 0.2767120471400627
Train mode: Epoch 8, loss 0.9222547747194767, f1 0.3326142680510969
Validation mode: Epoch 8, loss 0.9642794728279114, f1 0.2721650305022506
Train mode: Epoch 9, loss 0.9207402095198631, f1 0.3243680850942677
Validation mode: Epoch 9, loss 0.9508918864386422, f1 0.2882446512367772
Train mode: Epoch 10, loss 0.9070527404546738, f1 0.36942830390555703
Validation mode: Epoch 10, loss 0.9471358571733747, f1 0.33164997716817235
Train mode: Epoch 11, loss 0.9076059274375439, f1 0.3582387869314864
Validation mode: Epoch 11, loss 0.9469388893672398, f1 0.35001879072373
Train mode: Epoch 12, loss 0.8942406252026558, f1 0.3775006560709146
Validation mode: Epoch 12, loss 0.9458092280796596, f1 0.318552825698717
Train mode: Epoch 13, loss 0.8918663039803505, f1 0.39911524171010093
Validation mode: Epoch 13, loss 0.9307763661657061, f1 0.35081242240527777
Train mode: Epoch 14, loss 0.885848879814148, f1 0.3682530218324187
Validation mode: Epoch 14, loss 0.9320131114550999, f1 0.3442737383565501
Train mode: Epoch 15, loss 0.8790082409977913, f1 0.40282150685603174
Validation mode: Epoch 15, loss 0.9323930484907967, f1 0.3561644936674777
Train mode: Epoch 16, loss 0.8707186244428158, f1 0.40618675616564953
Validation mode: Epoch 16, loss 0.9231792177472796, f1 0.3669031064368487
Train mode: Epoch 17, loss 0.8614582978188992, f1 0.4034547954514136
Validation mode: Epoch 17, loss 0.9124910661152431, f1 0.375480481295388
Train mode: Epoch 18, loss 0.8562926240265369, f1 0.4455940174998923
Validation mode: Epoch 18, loss 0.9118976763316563, f1 0.3928363936250274
Train mode: Epoch 19, loss 0.8571972250938416, f1 0.4400088884834992
Validation mode: Epoch 19, loss 0.9062918594905308, f1 0.3894172452885223
Train mode: Epoch 20, loss 0.8538493663072586, f1 0.42730979083331294
Validation mode: Epoch 20, loss 0.9059733833585467, f1 0.39434658075750884
