Dataset: FiQA 
Encoder_name: bert-base-uncased 
Feature_type: first
Batch_size: 50
Train mode: Epoch 1, loss 1.0165366977453232, f1 0.2711447918631705
Validation mode: Epoch 1, loss 1.0172477534839086, f1 0.24569971560262824
Train mode: Epoch 2, loss 0.9703303724527359, f1 0.261883352012478
Validation mode: Epoch 2, loss 1.0075244307518005, f1 0.2581521739130435
Train mode: Epoch 3, loss 0.961451381444931, f1 0.28326712503183094
Validation mode: Epoch 3, loss 0.9970229438373021, f1 0.2721211735325537
Train mode: Epoch 4, loss 0.9382434748113155, f1 0.3046466610366402
Validation mode: Epoch 4, loss 0.9962805168969291, f1 0.2667881459960668
Train mode: Epoch 5, loss 0.9206315316259861, f1 0.33620730800962767
Validation mode: Epoch 5, loss 0.9950917959213257, f1 0.3043505869303378
Train mode: Epoch 6, loss 0.9100606814026833, f1 0.3447586902829149
Validation mode: Epoch 6, loss 0.9929530279976981, f1 0.2826931649138595
Train mode: Epoch 7, loss 0.894688218832016, f1 0.3526847980651371
Validation mode: Epoch 7, loss 0.9847239681652614, f1 0.30623990679638197
Train mode: Epoch 8, loss 0.8859108574688435, f1 0.39766877082553126
Validation mode: Epoch 8, loss 0.9857050180435181, f1 0.3053784732283718
Train mode: Epoch 9, loss 0.8755049481987953, f1 0.41572997929681144
Validation mode: Epoch 9, loss 0.9868047492844718, f1 0.31744759910361425
Train mode: Epoch 10, loss 0.8645900376141071, f1 0.41552067548734034
Validation mode: Epoch 10, loss 0.9785576292446682, f1 0.346967976701497
Train mode: Epoch 11, loss 0.8575317785143852, f1 0.4288853710492549
Validation mode: Epoch 11, loss 0.9879934702600751, f1 0.3386459187095454
Train mode: Epoch 12, loss 0.8423109948635101, f1 0.4551414362368426
Validation mode: Epoch 12, loss 0.980961765561785, f1 0.3457654467719837
Train mode: Epoch 13, loss 0.8406866751611233, f1 0.45056243992414197
Validation mode: Epoch 13, loss 0.980683045727866, f1 0.34363049095607234
Train mode: Epoch 14, loss 0.8388706780970097, f1 0.47665407342826693
Validation mode: Epoch 14, loss 0.9791427424975804, f1 0.3353937728937728
Train mode: Epoch 15, loss 0.823818925768137, f1 0.5031556126762367
Validation mode: Epoch 15, loss 0.9857410618237087, f1 0.35834338051632947
Train mode: Epoch 16, loss 0.8208481408655643, f1 0.4722191061635912
Validation mode: Epoch 16, loss 0.9826431955610003, f1 0.37022432220472234
Train mode: Epoch 17, loss 0.8069649748504162, f1 0.5124647015255891
Validation mode: Epoch 17, loss 0.9803070766585213, f1 0.37356299081196603
Train mode: Epoch 18, loss 0.8031698130071163, f1 0.49299592275202037
Validation mode: Epoch 18, loss 0.9835131679262433, f1 0.37494507628823964
Train mode: Epoch 19, loss 0.7960333563387394, f1 0.527969615901696
Validation mode: Epoch 19, loss 0.9787576709474836, f1 0.38166379288763563
Train mode: Epoch 20, loss 0.8006949685513973, f1 0.5208140464391434
Validation mode: Epoch 20, loss 0.9806834203856332, f1 0.3703760652219967
