Dataset: FiQA 
Encoder_name: bert-base-uncased 
Feature_type: first
Batch_size: 50
Train mode: Epoch 1, loss 1.0143736153841019, f1 0.2746562023023556
Validation mode: Epoch 1, loss 1.0102646946907043, f1 0.24039082687338506
Train mode: Epoch 2, loss 0.9786034859716892, f1 0.2769193775468954
Validation mode: Epoch 2, loss 1.0099454607282365, f1 0.23752141296000948
Train mode: Epoch 3, loss 0.9577097408473492, f1 0.28175344426552157
Validation mode: Epoch 3, loss 0.9932191797665187, f1 0.2654379892100914
Train mode: Epoch 4, loss 0.9440270029008389, f1 0.2952963974345486
Validation mode: Epoch 4, loss 1.0003897632871355, f1 0.2766332290655449
Train mode: Epoch 5, loss 0.9378445819020271, f1 0.32086481046346127
Validation mode: Epoch 5, loss 0.999983378819057, f1 0.2862821380527926
Train mode: Epoch 6, loss 0.9201646596193314, f1 0.33931052427955644
Validation mode: Epoch 6, loss 0.9950258476393563, f1 0.2991119219901288
Train mode: Epoch 7, loss 0.9153335504233837, f1 0.34780852684288305
Validation mode: Epoch 7, loss 0.992808359009879, f1 0.33346092503987235
Train mode: Epoch 8, loss 0.8979512602090836, f1 0.3747829340818882
Validation mode: Epoch 8, loss 0.9896906869752067, f1 0.28816535577098956
Train mode: Epoch 9, loss 0.891428254544735, f1 0.3886163392349184
Validation mode: Epoch 9, loss 0.9809859905924115, f1 0.30191665060086115
Train mode: Epoch 10, loss 0.8820043131709099, f1 0.39078219655456126
Validation mode: Epoch 10, loss 0.9913701159613473, f1 0.30609212547687054
Train mode: Epoch 11, loss 0.8749772012233734, f1 0.4029706942384879
Validation mode: Epoch 11, loss 0.9868739758219037, f1 0.34103785844234596
Train mode: Epoch 12, loss 0.8628465943038464, f1 0.4013653035436147
Validation mode: Epoch 12, loss 0.9842133436884198, f1 0.31311630865998064
Train mode: Epoch 13, loss 0.8621519990265369, f1 0.42875257428655483
Validation mode: Epoch 13, loss 0.98394889490945, f1 0.3242786728976308
Train mode: Epoch 14, loss 0.8501877672970295, f1 0.4443287756602066
Validation mode: Epoch 14, loss 0.9730618681226458, f1 0.3774124146431381
Train mode: Epoch 15, loss 0.8438089527189732, f1 0.45688382009817124
Validation mode: Epoch 15, loss 0.9869334271975926, f1 0.3621150357161835
Train mode: Epoch 16, loss 0.8355318568646908, f1 0.46875885728361144
Validation mode: Epoch 16, loss 0.980499940259116, f1 0.32178879173414693
Train mode: Epoch 17, loss 0.8346885740756989, f1 0.4715547209451935
Validation mode: Epoch 17, loss 0.9846785834857396, f1 0.34969637780478285
Train mode: Epoch 18, loss 0.8385209403932095, f1 0.4660129154782419
Validation mode: Epoch 18, loss 0.9855423314230782, f1 0.3557096599504261
Train mode: Epoch 19, loss 0.8267161771655083, f1 0.4681489581434907
Validation mode: Epoch 19, loss 0.9873735223497663, f1 0.3226615344400934
Train mode: Epoch 20, loss 0.8158554397523403, f1 0.49104903623998997
Validation mode: Epoch 20, loss 0.9873389346258981, f1 0.33666755520014213
