Dataset: FiQA 
Encoder_name: bert-base-uncased 
Feature_type: last
Batch_size: 50
Train mode: Epoch 1, loss 1.0159557312726974, f1 0.2843689662102221
Validation mode: Epoch 1, loss 1.0251500010490417, f1 0.2304700548795037
Train mode: Epoch 2, loss 0.9741305261850357, f1 0.2652973094759768
Validation mode: Epoch 2, loss 1.0098096472876412, f1 0.24575163398692812
Train mode: Epoch 3, loss 0.9606539271771908, f1 0.28163819720512046
Validation mode: Epoch 3, loss 1.0041206564222063, f1 0.23622433574879223
Train mode: Epoch 4, loss 0.9392348378896713, f1 0.28409643943460366
Validation mode: Epoch 4, loss 0.9964889628546578, f1 0.26281847382043844
Train mode: Epoch 5, loss 0.9304673001170158, f1 0.32632358861341987
Validation mode: Epoch 5, loss 1.0027067576135908, f1 0.25818793674849466
Train mode: Epoch 6, loss 0.918129600584507, f1 0.32050988441090494
Validation mode: Epoch 6, loss 0.9886112638882228, f1 0.3149352272366481
Train mode: Epoch 7, loss 0.9038065113127232, f1 0.35012361270258446
Validation mode: Epoch 7, loss 0.9908209953989301, f1 0.2764008352785549
Train mode: Epoch 8, loss 0.8948772735893726, f1 0.3822431717144303
Validation mode: Epoch 8, loss 0.986846217087337, f1 0.2992323830679995
Train mode: Epoch 9, loss 0.8873623982071877, f1 0.3924590411283975
Validation mode: Epoch 9, loss 0.9866411345345634, f1 0.28205372135520584
Train mode: Epoch 10, loss 0.873884130269289, f1 0.40090987918476984
Validation mode: Epoch 10, loss 0.9831436957631793, f1 0.2851804681393723
Train mode: Epoch 11, loss 0.8675882071256638, f1 0.41952836362961793
Validation mode: Epoch 11, loss 0.9731828570365906, f1 0.3184901648059542
Train mode: Epoch 12, loss 0.8590194769203663, f1 0.42261709382361473
Validation mode: Epoch 12, loss 0.984820374420711, f1 0.3069834749251223
Train mode: Epoch 13, loss 0.8495922461152077, f1 0.4222241203136912
Validation mode: Epoch 13, loss 0.977756176676069, f1 0.3184986993682645
Train mode: Epoch 14, loss 0.8474058285355568, f1 0.4428909152313408
Validation mode: Epoch 14, loss 0.9655785816056388, f1 0.3312004120084928
Train mode: Epoch 15, loss 0.8421991020441055, f1 0.455559751007734
Validation mode: Epoch 15, loss 0.9747970019068036, f1 0.3000057413713754
Train mode: Epoch 16, loss 0.8325765058398247, f1 0.4548219599499568
Validation mode: Epoch 16, loss 0.9697780609130859, f1 0.3494527019709768
Train mode: Epoch 17, loss 0.8284075371921062, f1 0.450142189742812
Validation mode: Epoch 17, loss 0.9661731123924255, f1 0.34024380774904883
Train mode: Epoch 18, loss 0.8223405294120312, f1 0.4751487073896134
Validation mode: Epoch 18, loss 0.9803780828203473, f1 0.33940722032387466
Train mode: Epoch 19, loss 0.8108657523989677, f1 0.5011940789978555
Validation mode: Epoch 19, loss 0.9743856872831073, f1 0.3353494623655913
Train mode: Epoch 20, loss 0.8058571144938469, f1 0.4923754624893202
Validation mode: Epoch 20, loss 0.9645335674285889, f1 0.36019089090939144
