Dataset: FiQA 
Encoder_name: bert-base-uncased 
Feature_type: last
Batch_size: 50
Train mode: Epoch 1, loss 1.0315141156315804, f1 0.28845416445263394
Validation mode: Epoch 1, loss 1.019936101777213, f1 0.25949416647091067
Train mode: Epoch 2, loss 0.9845115914940834, f1 0.2880430270397243
Validation mode: Epoch 2, loss 1.0113593935966492, f1 0.2800422993097091
Train mode: Epoch 3, loss 0.955603402107954, f1 0.28959368253369383
Validation mode: Epoch 3, loss 1.0176055431365967, f1 0.2855925373366915
Train mode: Epoch 4, loss 0.9400176517665386, f1 0.3133754299167833
Validation mode: Epoch 4, loss 1.0067220415387834, f1 0.31691287149508174
Train mode: Epoch 5, loss 0.9301500841975212, f1 0.321587506973363
Validation mode: Epoch 5, loss 0.9994455746241978, f1 0.33528164973252655
Train mode: Epoch 6, loss 0.9203937761485577, f1 0.4033997831365932
Validation mode: Epoch 6, loss 0.9981802872249058, f1 0.341126946899994
Train mode: Epoch 7, loss 0.9028169810771942, f1 0.3910772254330537
Validation mode: Epoch 7, loss 1.0103769046919686, f1 0.3221841567496093
Train mode: Epoch 8, loss 0.8914546482264996, f1 0.40199311786469866
Validation mode: Epoch 8, loss 0.9943121586527143, f1 0.3519443442721481
Train mode: Epoch 9, loss 0.8811816535890102, f1 0.4171225295975765
Validation mode: Epoch 9, loss 1.0100049717085702, f1 0.31083027362531684
Train mode: Epoch 10, loss 0.8708325587213039, f1 0.4330540539954509
Validation mode: Epoch 10, loss 1.0015063456126623, f1 0.3433870625130466
Train mode: Epoch 11, loss 0.8633281253278255, f1 0.48165114402841686
Validation mode: Epoch 11, loss 0.9941902501242501, f1 0.3337592370331699
Train mode: Epoch 12, loss 0.8540101610124111, f1 0.4593072948657578
Validation mode: Epoch 12, loss 0.9946514793804714, f1 0.3786100847236218
Train mode: Epoch 13, loss 0.8454154767096043, f1 0.47942043425914393
Validation mode: Epoch 13, loss 1.0001612561089652, f1 0.35699026668665884
Train mode: Epoch 14, loss 0.8431363217532635, f1 0.46627458048070863
Validation mode: Epoch 14, loss 0.9872472626822335, f1 0.3665868538822224
Train mode: Epoch 15, loss 0.8338636197149754, f1 0.492042459512339
Validation mode: Epoch 15, loss 0.9880962542125157, f1 0.4036235841255758
Train mode: Epoch 16, loss 0.8276888504624367, f1 0.5057494968474198
Validation mode: Epoch 16, loss 0.9835289972169059, f1 0.3939933612595212
Train mode: Epoch 17, loss 0.8135215193033218, f1 0.5106376191574152
Validation mode: Epoch 17, loss 0.9802183934620449, f1 0.4016263146893433
Train mode: Epoch 18, loss 0.8047655448317528, f1 0.5269893498752163
Validation mode: Epoch 18, loss 0.9835638914789472, f1 0.38347450435855884
Train mode: Epoch 19, loss 0.805991355329752, f1 0.5212827535662639
Validation mode: Epoch 19, loss 0.9783544370106289, f1 0.4054245263388609
Train mode: Epoch 20, loss 0.7971182242035866, f1 0.5400585238872472
Validation mode: Epoch 20, loss 0.9924032432692391, f1 0.3734088535315168
