Dataset: FiQA 
Encoder_name: bert-base-uncased 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.0413425527513027, f1 0.2886509625165864
Validation mode: Epoch 1, loss 0.9516220773969378, f1 0.253791978416702
Train mode: Epoch 2, loss 0.9921277761459351, f1 0.2642640588279391
Validation mode: Epoch 2, loss 0.9508648259299142, f1 0.2555715889049222
Train mode: Epoch 3, loss 0.9744935818016529, f1 0.2705877118832584
Validation mode: Epoch 3, loss 0.9450751968792507, f1 0.27861319966583126
Train mode: Epoch 4, loss 0.9613196104764938, f1 0.28476232688763775
Validation mode: Epoch 4, loss 0.9400095173290798, f1 0.32240914506150536
Train mode: Epoch 5, loss 0.9533565193414688, f1 0.324029180606
Validation mode: Epoch 5, loss 0.9392990555082049, f1 0.3251905371623682
Train mode: Epoch 6, loss 0.9393655359745026, f1 0.3270796250070861
Validation mode: Epoch 6, loss 0.9347135935510907, f1 0.32173754998182474
Train mode: Epoch 7, loss 0.9278827086091042, f1 0.3457087319585584
Validation mode: Epoch 7, loss 0.9329651253564017, f1 0.33268770337735853
Train mode: Epoch 8, loss 0.9158259741961956, f1 0.3681840554286507
Validation mode: Epoch 8, loss 0.9314877390861511, f1 0.3161308870715365
Train mode: Epoch 9, loss 0.910259123891592, f1 0.38178907509869725
Validation mode: Epoch 9, loss 0.9248733009610858, f1 0.3480246913580247
Train mode: Epoch 10, loss 0.8990259394049644, f1 0.39125945387804967
Validation mode: Epoch 10, loss 0.9224693860326495, f1 0.3591787592229874
Train mode: Epoch 11, loss 0.8865858502686024, f1 0.3896305793385568
Validation mode: Epoch 11, loss 0.917262784072331, f1 0.40245964032371795
Train mode: Epoch 12, loss 0.8844081424176693, f1 0.41230708669563754
Validation mode: Epoch 12, loss 0.9186780452728271, f1 0.3875890715513357
Train mode: Epoch 13, loss 0.8767002187669277, f1 0.42019032994947914
Validation mode: Epoch 13, loss 0.9123685104506356, f1 0.39580093713904557
Train mode: Epoch 14, loss 0.8678864613175392, f1 0.42843803880229214
Validation mode: Epoch 14, loss 0.9126435688563755, f1 0.39202571863862185
Train mode: Epoch 15, loss 0.8621114864945412, f1 0.442761948393022
Validation mode: Epoch 15, loss 0.9117562515395028, f1 0.4287111136202892
Train mode: Epoch 16, loss 0.8573886603116989, f1 0.44709502549580193
Validation mode: Epoch 16, loss 0.9107778668403625, f1 0.3981446178383951
Train mode: Epoch 17, loss 0.8473159372806549, f1 0.45723902903475616
Validation mode: Epoch 17, loss 0.9109569106783185, f1 0.42476360267771307
Train mode: Epoch 18, loss 0.8404537998139858, f1 0.48728217982639377
Validation mode: Epoch 18, loss 0.9073356134550912, f1 0.4333720152644065
Train mode: Epoch 19, loss 0.8362599946558475, f1 0.4596529104825932
Validation mode: Epoch 19, loss 0.909235520022256, f1 0.4298898071625345
Train mode: Epoch 20, loss 0.8270442485809326, f1 0.49992241027866546
Validation mode: Epoch 20, loss 0.9075886011123657, f1 0.39146262781921726
