Dataset: FiQA 
Encoder_name: bert-base-uncased 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.0343556478619576, f1 0.29218918997924526
Validation mode: Epoch 1, loss 0.9556955780301776, f1 0.2555715889049222
Train mode: Epoch 2, loss 0.9896048791706562, f1 0.24796296296296297
Validation mode: Epoch 2, loss 0.9578490427562169, f1 0.2526610110253233
Train mode: Epoch 3, loss 0.9784300327301025, f1 0.2643198699941558
Validation mode: Epoch 3, loss 0.9465838926179069, f1 0.28038485412787084
Train mode: Epoch 4, loss 0.9654841534793377, f1 0.2691695663963728
Validation mode: Epoch 4, loss 0.9473830716950553, f1 0.28061917005006437
Train mode: Epoch 5, loss 0.9523408003151417, f1 0.2846214780725354
Validation mode: Epoch 5, loss 0.9412953853607178, f1 0.2795428921244792
Train mode: Epoch 6, loss 0.9390220008790493, f1 0.3150116884080657
Validation mode: Epoch 6, loss 0.9381152050835746, f1 0.29645054626646894
Train mode: Epoch 7, loss 0.9305408410727978, f1 0.3327948745127136
Validation mode: Epoch 7, loss 0.933923636163984, f1 0.2923809523809524
Train mode: Epoch 8, loss 0.9223878495395184, f1 0.34510149325719963
Validation mode: Epoch 8, loss 0.9334111724581037, f1 0.3081648236820651
Train mode: Epoch 9, loss 0.9142188206315041, f1 0.3673304114101254
Validation mode: Epoch 9, loss 0.9323990004403251, f1 0.3395279895279895
Train mode: Epoch 10, loss 0.9075707048177719, f1 0.3698838677817761
Validation mode: Epoch 10, loss 0.928356042930058, f1 0.3226614120528594
Train mode: Epoch 11, loss 0.8997661508619785, f1 0.39591923187200057
Validation mode: Epoch 11, loss 0.9259551082338605, f1 0.31865272760165114
Train mode: Epoch 12, loss 0.8933425545692444, f1 0.397012388031256
Validation mode: Epoch 12, loss 0.9228140456335885, f1 0.3386781177478852
Train mode: Epoch 13, loss 0.8865677192807198, f1 0.3975731920263785
Validation mode: Epoch 13, loss 0.9237469179289681, f1 0.34329849651631833
Train mode: Epoch 14, loss 0.8780683092772961, f1 0.4091222980519298
Validation mode: Epoch 14, loss 0.918511416230883, f1 0.3831804236310532
Train mode: Epoch 15, loss 0.8719630241394043, f1 0.4247557678453449
Validation mode: Epoch 15, loss 0.9149731738226754, f1 0.37556410256410255
Train mode: Epoch 16, loss 0.8701794669032097, f1 0.42733136949528266
Validation mode: Epoch 16, loss 0.9207345247268677, f1 0.38876011421184825
Train mode: Epoch 17, loss 0.8621492497622967, f1 0.4236929736001968
Validation mode: Epoch 17, loss 0.9180807726723808, f1 0.38851171243347055
Train mode: Epoch 18, loss 0.8556856624782085, f1 0.44996249304683406
Validation mode: Epoch 18, loss 0.9199529119900295, f1 0.41252351935023673
Train mode: Epoch 19, loss 0.850298460572958, f1 0.46195417786055293
Validation mode: Epoch 19, loss 0.9191572921616691, f1 0.39869953356191884
Train mode: Epoch 20, loss 0.8463914543390274, f1 0.4598944739429316
Validation mode: Epoch 20, loss 0.9223417128835406, f1 0.39706824340970687
