Dataset: FiQA 
Encoder_name: distilbert-base-uncased 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.0399441793560982, f1 0.27420095459534216
Validation mode: Epoch 1, loss 1.0128002337047033, f1 0.23692501575299307
Train mode: Epoch 2, loss 0.995707705616951, f1 0.24301698292309282
Validation mode: Epoch 2, loss 1.0106986590794154, f1 0.23647798742138368
Train mode: Epoch 3, loss 0.982085332274437, f1 0.2369121561668145
Validation mode: Epoch 3, loss 0.9971301811082023, f1 0.23728813559322035
Train mode: Epoch 4, loss 0.9689398817718029, f1 0.23997679880032818
Validation mode: Epoch 4, loss 0.999662561076028, f1 0.23692501575299307
Train mode: Epoch 5, loss 0.9613795951008797, f1 0.24301698292309282
Validation mode: Epoch 5, loss 0.994304963520595, f1 0.23529411764705885
Train mode: Epoch 6, loss 0.9474592059850693, f1 0.25530773393863126
Validation mode: Epoch 6, loss 0.9957628846168518, f1 0.24757575757575756
Train mode: Epoch 7, loss 0.9410423077642918, f1 0.2627585435987573
Validation mode: Epoch 7, loss 0.9943878054618835, f1 0.2684546615581099
Train mode: Epoch 8, loss 0.9323949329555035, f1 0.2552909060164796
Validation mode: Epoch 8, loss 0.9913262213979449, f1 0.27678318803203167
Train mode: Epoch 9, loss 0.9253033995628357, f1 0.29164799006015285
Validation mode: Epoch 9, loss 0.9944497687476022, f1 0.28496603406871673
Train mode: Epoch 10, loss 0.9227294772863388, f1 0.296262649656069
Validation mode: Epoch 10, loss 0.9937108840261187, f1 0.2941844480306019
Train mode: Epoch 11, loss 0.9183394014835358, f1 0.3163609199890291
Validation mode: Epoch 11, loss 0.9825537545340401, f1 0.29236782541130363
Train mode: Epoch 12, loss 0.9116749912500381, f1 0.3306869742728996
Validation mode: Epoch 12, loss 0.9903781754629952, f1 0.3047917787441808
Train mode: Epoch 13, loss 0.9046812728047371, f1 0.3509629758698047
Validation mode: Epoch 13, loss 0.9873778138841901, f1 0.3082234986154273
Train mode: Epoch 14, loss 0.9019377008080482, f1 0.346558017494539
Validation mode: Epoch 14, loss 0.9869908860751561, f1 0.32510256410256405
Train mode: Epoch 15, loss 0.8939794823527336, f1 0.37837273813695765
Validation mode: Epoch 15, loss 0.9817631755556379, f1 0.334325718738221
Train mode: Epoch 16, loss 0.8859134204685688, f1 0.3843809781578022
Validation mode: Epoch 16, loss 0.9824362397193909, f1 0.32295032159530807
Train mode: Epoch 17, loss 0.8828396573662758, f1 0.37885966762338796
Validation mode: Epoch 17, loss 0.9794301646096366, f1 0.32991641759462537
Train mode: Epoch 18, loss 0.8817857690155506, f1 0.38733617311533824
Validation mode: Epoch 18, loss 0.9861107638904026, f1 0.3180186243581115
Train mode: Epoch 19, loss 0.8736114203929901, f1 0.3936303688141924
Validation mode: Epoch 19, loss 0.9827334795679364, f1 0.34465851444955264
Train mode: Epoch 20, loss 0.8712495341897011, f1 0.3893004504824343
Validation mode: Epoch 20, loss 0.9805554832730975, f1 0.3312972931796252
