Dataset: FiQA 
Encoder_name: distilroberta-base 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.0232121907174587, f1 0.2744318846842953
Validation mode: Epoch 1, loss 0.9761497889246259, f1 0.24567901234567904
Train mode: Epoch 2, loss 1.015516459941864, f1 0.2295442064799561
Validation mode: Epoch 2, loss 0.9722335764339992, f1 0.24567901234567904
Train mode: Epoch 3, loss 1.0115514248609543, f1 0.23194458615334035
Validation mode: Epoch 3, loss 0.9770964554377964, f1 0.24600246002460024
Train mode: Epoch 4, loss 1.006702482700348, f1 0.24223315657892644
Validation mode: Epoch 4, loss 0.977998605796269, f1 0.24600246002460024
Train mode: Epoch 5, loss 1.00187361612916, f1 0.2379008628528704
Validation mode: Epoch 5, loss 0.9750241466930935, f1 0.24600246002460024
Train mode: Epoch 6, loss 0.9945372045040131, f1 0.23837731720022837
Validation mode: Epoch 6, loss 0.9745702488081796, f1 0.24600246002460024
Train mode: Epoch 7, loss 0.9937689453363419, f1 0.239321857496953
Validation mode: Epoch 7, loss 0.9704280155045646, f1 0.24600246002460024
Train mode: Epoch 8, loss 0.9916672222316265, f1 0.2385334829779274
Validation mode: Epoch 8, loss 0.9681174244199481, f1 0.24522489217498458
Train mode: Epoch 9, loss 0.9874883815646172, f1 0.24117335165119455
Validation mode: Epoch 9, loss 0.9666564123971122, f1 0.2552291078898726
Train mode: Epoch 10, loss 0.9841349869966507, f1 0.2447061429081524
Validation mode: Epoch 10, loss 0.9594932879720416, f1 0.24600246002460024
Train mode: Epoch 11, loss 0.9870442859828472, f1 0.25059885276416544
Validation mode: Epoch 11, loss 0.9600640961102077, f1 0.2444444444444445
Train mode: Epoch 12, loss 0.9848447553813457, f1 0.2506084656084656
Validation mode: Epoch 12, loss 0.962173444884164, f1 0.24600246002460024
Train mode: Epoch 13, loss 0.9856625236570835, f1 0.2500758488377281
Validation mode: Epoch 13, loss 0.9620551041194371, f1 0.2549067473879503
Train mode: Epoch 14, loss 0.9794479422271252, f1 0.25193783164416633
Validation mode: Epoch 14, loss 0.955119618347713, f1 0.2654894316401024
Train mode: Epoch 15, loss 0.9720826558768749, f1 0.24768794498218386
Validation mode: Epoch 15, loss 0.9515729546546936, f1 0.2654894316401024
Train mode: Epoch 16, loss 0.9726815856993198, f1 0.25547619047619047
Validation mode: Epoch 16, loss 0.9576553872653416, f1 0.24567901234567904
Train mode: Epoch 17, loss 0.972106084227562, f1 0.257461572244181
Validation mode: Epoch 17, loss 0.9541670254298619, f1 0.24522489217498458
Train mode: Epoch 18, loss 0.9687520116567612, f1 0.2630858551457948
Validation mode: Epoch 18, loss 0.9552358984947205, f1 0.26456858313674264
Train mode: Epoch 19, loss 0.9624834731221199, f1 0.2783837863199333
Validation mode: Epoch 19, loss 0.9514881883348737, f1 0.2562610996339386
Train mode: Epoch 20, loss 0.9619074277579784, f1 0.26823617086194096
Validation mode: Epoch 20, loss 0.9571112224033901, f1 0.26583360616974067
