Dataset: FiQA 
Encoder_name: google-electra-base-discriminator 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.0114449709653854, f1 0.2696206865231578
Validation mode: Epoch 1, loss 1.0320316212517875, f1 0.26241117737656
Train mode: Epoch 2, loss 0.9900022558867931, f1 0.23316912972085388
Validation mode: Epoch 2, loss 1.0337775690214974, f1 0.24167244968771687
Train mode: Epoch 3, loss 0.9962561912834644, f1 0.24609437095449552
Validation mode: Epoch 3, loss 1.0237397636686052, f1 0.2525271706562468
Train mode: Epoch 4, loss 0.993485864251852, f1 0.2390587287875702
Validation mode: Epoch 4, loss 1.0226199286324638, f1 0.2720640822603227
Train mode: Epoch 5, loss 0.978971216827631, f1 0.2456228673714829
Validation mode: Epoch 5, loss 1.022527379649026, f1 0.269323116219668
Train mode: Epoch 6, loss 0.9792930632829666, f1 0.25554643023248963
Validation mode: Epoch 6, loss 1.0237756712096078, f1 0.2809529711492116
Train mode: Epoch 7, loss 0.970659039914608, f1 0.24188214188214188
Validation mode: Epoch 7, loss 1.018540927342006, f1 0.2734315053676724
Train mode: Epoch 8, loss 0.9680118560791016, f1 0.2600719168530756
Validation mode: Epoch 8, loss 1.0168394701821464, f1 0.28830409356725145
Train mode: Epoch 9, loss 0.9671639129519463, f1 0.2627035857553426
Validation mode: Epoch 9, loss 1.0165713003703527, f1 0.2862130768965636
Train mode: Epoch 10, loss 0.964568518102169, f1 0.26887099081389815
Validation mode: Epoch 10, loss 1.0122582912445068, f1 0.27373335487675476
Train mode: Epoch 11, loss 0.9595766700804234, f1 0.26435784547411845
Validation mode: Epoch 11, loss 1.0105218717030116, f1 0.2977902508041263
Train mode: Epoch 12, loss 0.9581991136074066, f1 0.2698754523022306
Validation mode: Epoch 12, loss 1.0054606625011988, f1 0.28319589788855154
Train mode: Epoch 13, loss 0.955820843577385, f1 0.2750814289426928
Validation mode: Epoch 13, loss 1.0050895299230302, f1 0.27934465868493646
Train mode: Epoch 14, loss 0.9480516240000725, f1 0.29576366418471683
Validation mode: Epoch 14, loss 1.0087143523352486, f1 0.2986099657302032
Train mode: Epoch 15, loss 0.9461497068405151, f1 0.3009296662204399
Validation mode: Epoch 15, loss 1.0074956842831202, f1 0.2791128147165299
Train mode: Epoch 16, loss 0.9423555955290794, f1 0.29526387042780483
Validation mode: Epoch 16, loss 1.0069787161690849, f1 0.29565243676649516
Train mode: Epoch 17, loss 0.9467952065169811, f1 0.3054639909001576
Validation mode: Epoch 17, loss 1.0082162874085563, f1 0.2880212461838683
Train mode: Epoch 18, loss 0.9454612843692303, f1 0.29148225148336976
Validation mode: Epoch 18, loss 1.0041038393974304, f1 0.29164770693256103
Train mode: Epoch 19, loss 0.9391311444342136, f1 0.303699945903192
Validation mode: Epoch 19, loss 1.006640544959477, f1 0.2661259780398471
Train mode: Epoch 20, loss 0.9358420185744762, f1 0.30487218455878545
Validation mode: Epoch 20, loss 0.9996240990502494, f1 0.2920634920634921
