Dataset: FiQA 
Encoder_name: google-mobilebert-uncased 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 45346.62665776163, f1 0.3500274900751504
Validation mode: Epoch 1, loss 182527786536.77457, f1 0.260665013669019
Train mode: Epoch 2, loss 212870933190.2832, f1 0.28220439338336223
Validation mode: Epoch 2, loss 73810928038.0134, f1 0.31301368614801456
Train mode: Epoch 3, loss 141329097467.41602, f1 0.31786431272358157
Validation mode: Epoch 3, loss 163999717224.77008, f1 0.34408176965077564
Train mode: Epoch 4, loss 216449141552.7881, f1 0.28594677977647165
Validation mode: Epoch 4, loss 82496352937.92635, f1 0.33999687066154105
Train mode: Epoch 5, loss 72968384955.0293, f1 0.3060902704932156
Validation mode: Epoch 5, loss 1363408927.1473215, f1 0.27917565666917266
Train mode: Epoch 6, loss 219283045943.00195, f1 0.29795912919931156
Validation mode: Epoch 6, loss 88911059839.25, f1 0.3245373906865716
Train mode: Epoch 7, loss 147890474522.50977, f1 0.31041121121824133
Validation mode: Epoch 7, loss 8357178603.566964, f1 0.3181515946304779
Train mode: Epoch 8, loss 166970047533.0664, f1 0.3313789806590047
Validation mode: Epoch 8, loss 88158582418.0558, f1 0.33382997002156767
Train mode: Epoch 9, loss 150798261334.61816, f1 0.3478943089794598
Validation mode: Epoch 9, loss 2857843686.633929, f1 0.2881090575217294
Train mode: Epoch 10, loss 195857759985.51074, f1 0.31505693216474967
Validation mode: Epoch 10, loss 90634728668.22768, f1 0.3417676634104225
Train mode: Epoch 11, loss 157199939754.79883, f1 0.326136608423139
Validation mode: Epoch 11, loss 8291558449.046875, f1 0.3880852938584897
Train mode: Epoch 12, loss 118257730559.87988, f1 0.3470213491315775
Validation mode: Epoch 12, loss 122868733421.1116, f1 0.3546505222482876
Train mode: Epoch 13, loss 144773466984.57227, f1 0.3562828640228021
Validation mode: Epoch 13, loss 47369053453.73884, f1 0.31177531749958765
Train mode: Epoch 14, loss 136211199647.48633, f1 0.3487871516827554
Validation mode: Epoch 14, loss 142532495603.00894, f1 0.3589302685811595
Train mode: Epoch 15, loss 152555308944.15137, f1 0.38469275446109846
Validation mode: Epoch 15, loss 51792544905.216515, f1 0.3557885585115632
Train mode: Epoch 16, loss 130587440469.32812, f1 0.36657441221756576
Validation mode: Epoch 16, loss 167650588935.3393, f1 0.3322425185371238
Train mode: Epoch 17, loss 154615423322.10938, f1 0.37437602633216555
Validation mode: Epoch 17, loss 95027521920.7433, f1 0.3360706105804145
Train mode: Epoch 18, loss 185933100064.04297, f1 0.34351338252985225
Validation mode: Epoch 18, loss 20414595921.73884, f1 0.33444663658929064
Train mode: Epoch 19, loss 125206150902.8457, f1 0.31920060244403153
Validation mode: Epoch 19, loss 90195544908.53125, f1 0.3300909861352456
Train mode: Epoch 20, loss 183795994204.1582, f1 0.33730181721334446
Validation mode: Epoch 20, loss 24468568121.34375, f1 0.31922123997595697
