Dataset: FiQA 
Encoder_name: roberta-base 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.0334095060825348, f1 0.2690176593805565
Validation mode: Epoch 1, loss 1.007471033505031, f1 0.23728813559322035
Train mode: Epoch 2, loss 1.0013435631990433, f1 0.2343962932679204
Validation mode: Epoch 2, loss 1.0040186558450972, f1 0.23728813559322035
Train mode: Epoch 3, loss 0.9960611462593079, f1 0.2369121561668145
Validation mode: Epoch 3, loss 1.001061396939414, f1 0.23728813559322035
Train mode: Epoch 4, loss 0.9932984411716461, f1 0.24301698292309282
Validation mode: Epoch 4, loss 1.004554612295968, f1 0.23728813559322035
Train mode: Epoch 5, loss 0.9855088703334332, f1 0.24014341970470202
Validation mode: Epoch 5, loss 0.9963859915733337, f1 0.23647798742138368
Train mode: Epoch 6, loss 0.9857845231890678, f1 0.2431717979156569
Validation mode: Epoch 6, loss 0.9968727912221637, f1 0.2464488252768026
Train mode: Epoch 7, loss 0.982713595032692, f1 0.24340746399569932
Validation mode: Epoch 7, loss 0.9992866941860744, f1 0.23728813559322035
Train mode: Epoch 8, loss 0.9767626188695431, f1 0.24498955778674014
Validation mode: Epoch 8, loss 0.9942525369780404, f1 0.23728813559322035
Train mode: Epoch 9, loss 0.9711469933390617, f1 0.24601455118272184
Validation mode: Epoch 9, loss 1.0071083733013697, f1 0.23647798742138368
Train mode: Epoch 10, loss 0.9656851813197136, f1 0.2503308285150471
Validation mode: Epoch 10, loss 0.9998212967600141, f1 0.24413489736070382
Train mode: Epoch 11, loss 0.9691800028085709, f1 0.2567494240753519
Validation mode: Epoch 11, loss 0.9860351596559797, f1 0.2526160717580748
Train mode: Epoch 12, loss 0.9613537341356277, f1 0.2656455674537335
Validation mode: Epoch 12, loss 0.9951147522245135, f1 0.25537586621236813
Train mode: Epoch 13, loss 0.9591432102024555, f1 0.26769593733008334
Validation mode: Epoch 13, loss 0.9954229763575962, f1 0.24286987522281642
Train mode: Epoch 14, loss 0.9608417898416519, f1 0.2708776072412436
Validation mode: Epoch 14, loss 0.9931127258709499, f1 0.23529411764705885
Train mode: Epoch 15, loss 0.9576731361448765, f1 0.26399117900932617
Validation mode: Epoch 15, loss 0.9888747334480286, f1 0.25158644387175433
Train mode: Epoch 16, loss 0.9510948807001114, f1 0.27124919904677564
Validation mode: Epoch 16, loss 0.9975230353219169, f1 0.26058497532709657
Train mode: Epoch 17, loss 0.9493403472006321, f1 0.2710196400783742
Validation mode: Epoch 17, loss 0.9953763144356864, f1 0.24820922871897386
Train mode: Epoch 18, loss 0.9458998553454876, f1 0.26741488209656566
Validation mode: Epoch 18, loss 0.9908504826681954, f1 0.25999481716498923
Train mode: Epoch 19, loss 0.9474796541035175, f1 0.2681053713311778
Validation mode: Epoch 19, loss 0.9842614190919059, f1 0.2500966723615476
Train mode: Epoch 20, loss 0.9405601695179939, f1 0.26451772762084963
Validation mode: Epoch 20, loss 0.9933901429176331, f1 0.2580041157715305
