Dataset: Fi_ATSA 
Encoder_name: ProsusAI-finbert 
Feature_type: cls
Batch_size: 50
Train mode: Epoch 1, loss 0.7000239051523662, f1 0.6710041932048564
Validation mode: Epoch 1, loss 0.6588989761140611, f1 0.7028090458300863
Train mode: Epoch 2, loss 0.5978598992029825, f1 0.7263442500063794
Validation mode: Epoch 2, loss 0.6267828345298767, f1 0.708156973870901
Train mode: Epoch 3, loss 0.5673931666782924, f1 0.7410559702259784
Validation mode: Epoch 3, loss 0.6212277346187167, f1 0.7100334706137126
Train mode: Epoch 4, loss 0.5507802835532597, f1 0.7468010273841167
Validation mode: Epoch 4, loss 0.5984816915459104, f1 0.7164668902812058
Train mode: Epoch 5, loss 0.5296843215113595, f1 0.7485669541866385
Validation mode: Epoch 5, loss 0.5905511114332411, f1 0.7275065172972592
Train mode: Epoch 6, loss 0.5148795481239047, f1 0.7648634243707088
Validation mode: Epoch 6, loss 0.5841346515549554, f1 0.7455314155214454
Train mode: Epoch 7, loss 0.5025266565027691, f1 0.7750079256189734
Validation mode: Epoch 7, loss 0.5799750751919217, f1 0.7480672339111379
Train mode: Epoch 8, loss 0.48758713830085026, f1 0.7815508264288029
Validation mode: Epoch 8, loss 0.5704746610588498, f1 0.767706938579325
Train mode: Epoch 9, loss 0.48005457932040807, f1 0.7908704524307119
Validation mode: Epoch 9, loss 0.5674941837787628, f1 0.7755868077437617
Train mode: Epoch 10, loss 0.4716771323056448, f1 0.7947361247638155
Validation mode: Epoch 10, loss 0.5537819133864509, f1 0.7727061255265596
Train mode: Epoch 11, loss 0.4658830009755634, f1 0.7991314681863644
Validation mode: Epoch 11, loss 0.5565686325232188, f1 0.7749760588925497
Train mode: Epoch 12, loss 0.45485765238602954, f1 0.8032694679244275
Validation mode: Epoch 12, loss 0.5476594732867347, f1 0.7850606943795021
Train mode: Epoch 13, loss 0.4487779161759785, f1 0.8066787005477688
Validation mode: Epoch 13, loss 0.5489342113335928, f1 0.788716877450676
Train mode: Epoch 14, loss 0.4372463793981643, f1 0.8207450425147039
Validation mode: Epoch 14, loss 0.5469446116023593, f1 0.7856757258931172
Train mode: Epoch 15, loss 0.4410382942074821, f1 0.8122935505597857
Validation mode: Epoch 15, loss 0.5440849860509237, f1 0.7824465247344494
Train mode: Epoch 16, loss 0.4323472572224481, f1 0.8195614056408109
Validation mode: Epoch 16, loss 0.5446146561039819, f1 0.7771324547936241
Train mode: Epoch 17, loss 0.42672844514960334, f1 0.8178215250551696
Validation mode: Epoch 17, loss 0.5398224691549937, f1 0.7935864696744893
Train mode: Epoch 18, loss 0.42115277655067895, f1 0.8301701492769151
Validation mode: Epoch 18, loss 0.5325381888283623, f1 0.7741897943839691
Train mode: Epoch 19, loss 0.42094570327372777, f1 0.824595839138949
Validation mode: Epoch 19, loss 0.5317561626434326, f1 0.7855712736147519
Train mode: Epoch 20, loss 0.42007829532736823, f1 0.8324598310403531
Validation mode: Epoch 20, loss 0.5263799627621969, f1 0.7934304093399435
