Dataset: Fi_ATSA 
Encoder_name: ProsusAI-finbert 
Feature_type: cls_last
Batch_size: 50
Train mode: Epoch 1, loss 0.68508684918994, f1 0.6608467210276054
Validation mode: Epoch 1, loss 0.6543381479051378, f1 0.695114974403633
Train mode: Epoch 2, loss 0.5696892440319061, f1 0.7330168401360523
Validation mode: Epoch 2, loss 0.6168900926907858, f1 0.7102424345653778
Train mode: Epoch 3, loss 0.521586191086542, f1 0.7504215864904732
Validation mode: Epoch 3, loss 0.5902029507690005, f1 0.7377660268964616
Train mode: Epoch 4, loss 0.4862792825415021, f1 0.7761148272017837
Validation mode: Epoch 4, loss 0.5687839024596744, f1 0.7449966902309236
Train mode: Epoch 5, loss 0.46116073997247786, f1 0.7974086363762432
Validation mode: Epoch 5, loss 0.5587836503982544, f1 0.7551508738886706
Train mode: Epoch 6, loss 0.44052265726384665, f1 0.8031216183614026
Validation mode: Epoch 6, loss 0.5500680903593699, f1 0.7612808373027035
Train mode: Epoch 7, loss 0.4207481301966168, f1 0.8282040465239865
Validation mode: Epoch 7, loss 0.5420516828695933, f1 0.7721976202100266
Train mode: Epoch 8, loss 0.40603266798314597, f1 0.8334816664129058
Validation mode: Epoch 8, loss 0.5383604764938354, f1 0.7718479582900052
Train mode: Epoch 9, loss 0.39477028555813287, f1 0.8480162363425503
Validation mode: Epoch 9, loss 0.5305067102114359, f1 0.7833253644243383
Train mode: Epoch 10, loss 0.3798115665004367, f1 0.852755133578632
Validation mode: Epoch 10, loss 0.5183657904465994, f1 0.800390443071382
Train mode: Epoch 11, loss 0.3691508855138506, f1 0.8532941011233652
Validation mode: Epoch 11, loss 0.5138923327128092, f1 0.7972264829425919
Train mode: Epoch 12, loss 0.35719911683173405, f1 0.8648089942138787
Validation mode: Epoch 12, loss 0.5083408322599199, f1 0.8023395826560223
Train mode: Epoch 13, loss 0.3475083318494615, f1 0.8741956367795591
Validation mode: Epoch 13, loss 0.5120522479216257, f1 0.8124127468578745
Train mode: Epoch 14, loss 0.34429270809605006, f1 0.8761668091269756
Validation mode: Epoch 14, loss 0.5086106359958649, f1 0.803203982276786
Train mode: Epoch 15, loss 0.33718242638167883, f1 0.8775099190672605
Validation mode: Epoch 15, loss 0.5079110099209679, f1 0.8085816006279626
Train mode: Epoch 16, loss 0.32438418588468004, f1 0.8817436552364484
Validation mode: Epoch 16, loss 0.5047013792726729, f1 0.8103603688202785
Train mode: Epoch 17, loss 0.32086103161176044, f1 0.8893059965808455
Validation mode: Epoch 17, loss 0.5033624966939291, f1 0.8088311252441138
Train mode: Epoch 18, loss 0.3158461891469501, f1 0.8890743425710982
Validation mode: Epoch 18, loss 0.5004068480597602, f1 0.8182190601049326
Train mode: Epoch 19, loss 0.304286793051731, f1 0.8967200892120596
Validation mode: Epoch 19, loss 0.5053199927012125, f1 0.7987536955989604
Train mode: Epoch 20, loss 0.3051141841070993, f1 0.8908769219537408
Validation mode: Epoch 20, loss 0.49963340163230896, f1 0.8063412569962788
