Dataset: Fi_ATSA 
Encoder_name: ProsusAI-finbert 
Feature_type: cls_last
Batch_size: 50
Train mode: Epoch 1, loss 0.7480040831225259, f1 0.6392245235802757
Validation mode: Epoch 1, loss 0.6580494145552317, f1 0.7279079980983859
Train mode: Epoch 2, loss 0.6095184534788132, f1 0.7150181043114537
Validation mode: Epoch 2, loss 0.6174750129381815, f1 0.7356287386962235
Train mode: Epoch 3, loss 0.5631872032369886, f1 0.7441293410196114
Validation mode: Epoch 3, loss 0.5829400817553202, f1 0.7418504602279551
Train mode: Epoch 4, loss 0.5328406712838581, f1 0.7650020121282992
Validation mode: Epoch 4, loss 0.5558028717835745, f1 0.7548336287282279
Train mode: Epoch 5, loss 0.5090558465038028, f1 0.7821901156720098
Validation mode: Epoch 5, loss 0.5376541167497635, f1 0.7779397821459842
Train mode: Epoch 6, loss 0.4912871675831931, f1 0.7873207961330566
Validation mode: Epoch 6, loss 0.5285282631715139, f1 0.7701314217443249
Train mode: Epoch 7, loss 0.4696225736822401, f1 0.8042863118525627
Validation mode: Epoch 7, loss 0.5089402347803116, f1 0.7929379929379929
Train mode: Epoch 8, loss 0.45160754876477377, f1 0.8132090719572097
Validation mode: Epoch 8, loss 0.4957956423362096, f1 0.7975670471091071
Train mode: Epoch 9, loss 0.43939121280397686, f1 0.8237759619943427
Validation mode: Epoch 9, loss 0.4914363423983256, f1 0.82101755369457
Train mode: Epoch 10, loss 0.420974395104817, f1 0.8400306945354078
Validation mode: Epoch 10, loss 0.477168728907903, f1 0.8270666656446969
Train mode: Epoch 11, loss 0.4105043091944286, f1 0.8431149542830133
Validation mode: Epoch 11, loss 0.47207510471343994, f1 0.8185129877385996
Train mode: Epoch 12, loss 0.39642200831856045, f1 0.8511065252245132
Validation mode: Epoch 12, loss 0.4682986835638682, f1 0.8262948636759188
Train mode: Epoch 13, loss 0.38534541321652277, f1 0.8626294649487551
Validation mode: Epoch 13, loss 0.45877793431282043, f1 0.8291595791786337
Train mode: Epoch 14, loss 0.3795449137687683, f1 0.8736278325127138
Validation mode: Epoch 14, loss 0.4534886032342911, f1 0.8251806013864863
Train mode: Epoch 15, loss 0.37297660431691576, f1 0.8716761202523053
Validation mode: Epoch 15, loss 0.4481525719165802, f1 0.8393470690590785
Train mode: Epoch 16, loss 0.36431524476834704, f1 0.8733651872768076
Validation mode: Epoch 16, loss 0.45016015072663623, f1 0.8305707132938253
Train mode: Epoch 17, loss 0.3570962133152144, f1 0.8933315799502788
Validation mode: Epoch 17, loss 0.4504309147596359, f1 0.8467621326801954
Train mode: Epoch 18, loss 0.3463699689933232, f1 0.8929776661154764
Validation mode: Epoch 18, loss 0.4374616891145706, f1 0.852184528813608
Train mode: Epoch 19, loss 0.3370815174920218, f1 0.8860417432777276
Validation mode: Epoch 19, loss 0.43652301530043286, f1 0.844732137401944
Train mode: Epoch 20, loss 0.333416149020195, f1 0.8925518241417558
Validation mode: Epoch 20, loss 0.43388325969378155, f1 0.8557544502545943
