Dataset: Fi_ATSA 
Encoder_name: ProsusAI-finbert 
Feature_type: first
Batch_size: 50
Train mode: Epoch 1, loss 0.9758984673590887, f1 0.344821290466081
Validation mode: Epoch 1, loss 0.9821255736880832, f1 0.3082014911802146
Train mode: Epoch 2, loss 0.8926459749539694, f1 0.4450454227591412
Validation mode: Epoch 2, loss 0.9327594571643405, f1 0.3722990165278575
Train mode: Epoch 3, loss 0.8484014499755133, f1 0.4846874445396739
Validation mode: Epoch 3, loss 0.8996228178342184, f1 0.4165490729214278
Train mode: Epoch 4, loss 0.8105753064155579, f1 0.5177882432234501
Validation mode: Epoch 4, loss 0.8751226729816861, f1 0.4664166924338435
Train mode: Epoch 5, loss 0.786780181385222, f1 0.5520943020041577
Validation mode: Epoch 5, loss 0.8574512667126126, f1 0.48258102248809526
Train mode: Epoch 6, loss 0.7600374079885936, f1 0.5903876698414783
Validation mode: Epoch 6, loss 0.8357068101565043, f1 0.5499032957104236
Train mode: Epoch 7, loss 0.7423269067491803, f1 0.6067848903687688
Validation mode: Epoch 7, loss 0.8133603930473328, f1 0.5730642430722623
Train mode: Epoch 8, loss 0.7233449277423677, f1 0.6306700466175585
Validation mode: Epoch 8, loss 0.8037623895539178, f1 0.5591470893195032
Train mode: Epoch 9, loss 0.703611916019803, f1 0.6479961404086217
Validation mode: Epoch 9, loss 0.7997676200336881, f1 0.5814113816489804
Train mode: Epoch 10, loss 0.6927063294819423, f1 0.6648365962286577
Validation mode: Epoch 10, loss 0.7849478920300802, f1 0.5846564529489151
Train mode: Epoch 11, loss 0.6842054071880522, f1 0.6681571958542158
Validation mode: Epoch 11, loss 0.7803314593103197, f1 0.5989784758427841
Train mode: Epoch 12, loss 0.6695197735513959, f1 0.6831620942315554
Validation mode: Epoch 12, loss 0.7764752308527628, f1 0.6025534823098221
Train mode: Epoch 13, loss 0.6578501831917536, f1 0.6994233383153805
Validation mode: Epoch 13, loss 0.7630658348401388, f1 0.6487333633358294
Train mode: Epoch 14, loss 0.6475888533251626, f1 0.6949084005695302
Validation mode: Epoch 14, loss 0.7578655348883735, f1 0.6403454780217329
Train mode: Epoch 15, loss 0.6444087539400373, f1 0.7185840320017536
Validation mode: Epoch 15, loss 0.7461057835155063, f1 0.6480235208641697
Train mode: Epoch 16, loss 0.6287760507492792, f1 0.7147469323428414
Validation mode: Epoch 16, loss 0.7528231143951416, f1 0.6391234496497654
Train mode: Epoch 17, loss 0.6216293843019576, f1 0.7239346624916408
Validation mode: Epoch 17, loss 0.7472885913319058, f1 0.6465446028153181
Train mode: Epoch 18, loss 0.6218957333337694, f1 0.7335186277068434
Validation mode: Epoch 18, loss 0.7386932637956407, f1 0.6509257564302402
Train mode: Epoch 19, loss 0.609569563752129, f1 0.7399950254573676
Validation mode: Epoch 19, loss 0.7430823908911811, f1 0.6564805320026047
Train mode: Epoch 20, loss 0.6018515541439965, f1 0.7415986317554523
Validation mode: Epoch 20, loss 0.731319374508328, f1 0.6612888771065528
