Dataset: Fi_ATSA 
Encoder_name: ProsusAI-finbert 
Feature_type: last
Batch_size: 50
Train mode: Epoch 1, loss 0.975849123228164, f1 0.35199479828100655
Validation mode: Epoch 1, loss 0.9640528957049052, f1 0.3365141299923909
Train mode: Epoch 2, loss 0.8858920676367623, f1 0.4351582418699924
Validation mode: Epoch 2, loss 0.9030295809110006, f1 0.4030892642594321
Train mode: Epoch 3, loss 0.835695553393591, f1 0.4897813738824037
Validation mode: Epoch 3, loss 0.8660182489289178, f1 0.47717230338953187
Train mode: Epoch 4, loss 0.7943722634088426, f1 0.5264999937259326
Validation mode: Epoch 4, loss 0.8381863170199924, f1 0.5252747045660492
Train mode: Epoch 5, loss 0.769287625948588, f1 0.5740776773400312
Validation mode: Epoch 5, loss 0.8079406685299344, f1 0.5420889179470416
Train mode: Epoch 6, loss 0.740413955279759, f1 0.6066187111153364
Validation mode: Epoch 6, loss 0.8009539511468675, f1 0.5723322841607432
Train mode: Epoch 7, loss 0.7221522231896719, f1 0.631377872518807
Validation mode: Epoch 7, loss 0.7741976843939887, f1 0.6024560665852018
Train mode: Epoch 8, loss 0.7084825734297434, f1 0.6378382987438744
Validation mode: Epoch 8, loss 0.761769586139255, f1 0.6015535727158285
Train mode: Epoch 9, loss 0.6834709842999777, f1 0.6634034109374923
Validation mode: Epoch 9, loss 0.7477848066223992, f1 0.6386200296531346
Train mode: Epoch 10, loss 0.6749906241893768, f1 0.6706086422059446
Validation mode: Epoch 10, loss 0.7440244952837626, f1 0.6250298193317229
Train mode: Epoch 11, loss 0.6656280145758674, f1 0.6824590525694747
Validation mode: Epoch 11, loss 0.7294848892423842, f1 0.6438967925338277
Train mode: Epoch 12, loss 0.6439520376069205, f1 0.6926829052179718
Validation mode: Epoch 12, loss 0.7254755165841844, f1 0.6510704413517713
Train mode: Epoch 13, loss 0.6389333180018834, f1 0.7103046663086033
Validation mode: Epoch 13, loss 0.7078676753573947, f1 0.6811727290797059
Train mode: Epoch 14, loss 0.6314554370584942, f1 0.713864468346261
Validation mode: Epoch 14, loss 0.7179752455817329, f1 0.6839548040114679
Train mode: Epoch 15, loss 0.6203744241169521, f1 0.7190751444343001
Validation mode: Epoch 15, loss 0.7087392608324686, f1 0.6712697887244218
Train mode: Epoch 16, loss 0.611056231317066, f1 0.7355767904474281
Validation mode: Epoch 16, loss 0.688932889037662, f1 0.691106451524694
Train mode: Epoch 17, loss 0.6049110123089382, f1 0.7355490139895572
Validation mode: Epoch 17, loss 0.7023628817664253, f1 0.7022308526815858
Train mode: Epoch 18, loss 0.600374508471716, f1 0.7347134805149586
Validation mode: Epoch 18, loss 0.6842084527015686, f1 0.7088149044972961
Train mode: Epoch 19, loss 0.587950009675253, f1 0.7405405626798359
Validation mode: Epoch 19, loss 0.6866461104816861, f1 0.7120494996142325
Train mode: Epoch 20, loss 0.5829536148480007, f1 0.7532496156901517
Validation mode: Epoch 20, loss 0.6848465071784126, f1 0.6960990695622081
