Dataset: Fi_ATSA 
Encoder_name: ProsusAI-finbert 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.0230484803517659, f1 0.30037537593833397
Validation mode: Epoch 1, loss 0.9578607612186008, f1 0.35193158544783704
Train mode: Epoch 2, loss 0.9333229405539376, f1 0.4033101482890409
Validation mode: Epoch 2, loss 0.9003075295024447, f1 0.4282137050215036
Train mode: Epoch 3, loss 0.8840292663801284, f1 0.469941520026607
Validation mode: Epoch 3, loss 0.8602168295118544, f1 0.4872606445050562
Train mode: Epoch 4, loss 0.8365349116779509, f1 0.5223984318722595
Validation mode: Epoch 4, loss 0.8435502449671427, f1 0.49373563106733237
Train mode: Epoch 5, loss 0.8135084226017907, f1 0.5546588498746252
Validation mode: Epoch 5, loss 0.8220891753832499, f1 0.5486774524735357
Train mode: Epoch 6, loss 0.7850301861763, f1 0.600638606646555
Validation mode: Epoch 6, loss 0.805398682753245, f1 0.5454120975822492
Train mode: Epoch 7, loss 0.7608484228452047, f1 0.6220522216683276
Validation mode: Epoch 7, loss 0.788705415195889, f1 0.5770730119353973
Train mode: Epoch 8, loss 0.7395385560535249, f1 0.6498089690848347
Validation mode: Epoch 8, loss 0.778587261835734, f1 0.6025880434195999
Train mode: Epoch 9, loss 0.7255839222953433, f1 0.6650112840626717
Validation mode: Epoch 9, loss 0.7714301149050394, f1 0.5876216433396518
Train mode: Epoch 10, loss 0.7113922635714213, f1 0.6897313403397796
Validation mode: Epoch 10, loss 0.7597560418976678, f1 0.609866894447799
Train mode: Epoch 11, loss 0.6972362682932899, f1 0.6858266530412087
Validation mode: Epoch 11, loss 0.7467533482445611, f1 0.6036819174083831
Train mode: Epoch 12, loss 0.6815732149850755, f1 0.6884798232287004
Validation mode: Epoch 12, loss 0.7417675654093424, f1 0.6380351983188862
Train mode: Epoch 13, loss 0.6798976461092631, f1 0.6975605038547917
Validation mode: Epoch 13, loss 0.7367651263872782, f1 0.6260769731025894
Train mode: Epoch 14, loss 0.6616987188657125, f1 0.7117982185362254
Validation mode: Epoch 14, loss 0.7295926080809699, f1 0.6405630554566725
Train mode: Epoch 15, loss 0.6590386061441331, f1 0.708824597921847
Validation mode: Epoch 15, loss 0.7355101108551025, f1 0.6204707134159627
Train mode: Epoch 16, loss 0.6472407380739847, f1 0.7185489782890052
Validation mode: Epoch 16, loss 0.720048745473226, f1 0.6532549793556083
Train mode: Epoch 17, loss 0.6353905541556222, f1 0.7278688270110257
Validation mode: Epoch 17, loss 0.7151255077785916, f1 0.6461053182529009
Train mode: Epoch 18, loss 0.6324078043301901, f1 0.7297452608850449
Validation mode: Epoch 18, loss 0.719241546259986, f1 0.658957647968637
Train mode: Epoch 19, loss 0.6227632108188811, f1 0.7381287225780543
Validation mode: Epoch 19, loss 0.7072351111306084, f1 0.6640006519442311
Train mode: Epoch 20, loss 0.6181241756393796, f1 0.7401777318036488
Validation mode: Epoch 20, loss 0.7076559795273675, f1 0.6659048577413752
