Dataset: Fi_ATSA 
Encoder_name: ProsusAI-finbert 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.016084903762454, f1 0.3222338361924276
Validation mode: Epoch 1, loss 0.9799789322747124, f1 0.5006671137595445
Train mode: Epoch 2, loss 0.9068373611995152, f1 0.4447521865889213
Validation mode: Epoch 2, loss 0.9281215071678162, f1 0.5305397495889919
Train mode: Epoch 3, loss 0.8433711472011748, f1 0.516300027667319
Validation mode: Epoch 3, loss 0.895408120420244, f1 0.5674018069775012
Train mode: Epoch 4, loss 0.7988639445531935, f1 0.556104584420774
Validation mode: Epoch 4, loss 0.8677109016312493, f1 0.5831986794279403
Train mode: Epoch 5, loss 0.7659153626078651, f1 0.5905715350627806
Validation mode: Epoch 5, loss 0.8534789350297716, f1 0.5940006632010256
Train mode: Epoch 6, loss 0.7377847149258568, f1 0.6153622590038889
Validation mode: Epoch 6, loss 0.8389081690046523, f1 0.6118723546786029
Train mode: Epoch 7, loss 0.7147329563186282, f1 0.6335687743296546
Validation mode: Epoch 7, loss 0.8283597429593405, f1 0.6303217697429818
Train mode: Epoch 8, loss 0.695334540946143, f1 0.6564689292446618
Validation mode: Epoch 8, loss 0.8172447482744852, f1 0.6171008674317909
Train mode: Epoch 9, loss 0.6787533944561368, f1 0.6681450627786648
Validation mode: Epoch 9, loss 0.8123091657956442, f1 0.629993297357928
Train mode: Epoch 10, loss 0.6659293047019413, f1 0.675947641101493
Validation mode: Epoch 10, loss 0.8058252665731642, f1 0.642222880426336
Train mode: Epoch 11, loss 0.6530475446156093, f1 0.6841225585422364
Validation mode: Epoch 11, loss 0.8027835819456313, f1 0.6489227669279483
Train mode: Epoch 12, loss 0.6426255333991278, f1 0.6993547093839597
Validation mode: Epoch 12, loss 0.7991473144955106, f1 0.6374234589211103
Train mode: Epoch 13, loss 0.6290064851442972, f1 0.71570350802584
Validation mode: Epoch 13, loss 0.7836768825848898, f1 0.6492635293567818
Train mode: Epoch 14, loss 0.6236915332930428, f1 0.7229799593036761
Validation mode: Epoch 14, loss 0.7828641401396857, f1 0.6396310380235058
Train mode: Epoch 15, loss 0.6134387907527742, f1 0.72193335135856
Validation mode: Epoch 15, loss 0.769915348953671, f1 0.657187533269456
Train mode: Epoch 16, loss 0.6030329849038806, f1 0.7240697160389805
Validation mode: Epoch 16, loss 0.773853427833981, f1 0.658148764410983
Train mode: Epoch 17, loss 0.5938386306876228, f1 0.7319265664314377
Validation mode: Epoch 17, loss 0.7763393786218431, f1 0.6520570474980477
Train mode: Epoch 18, loss 0.589831870226633, f1 0.7356013075012241
Validation mode: Epoch 18, loss 0.7685483694076538, f1 0.673627070466536
Train mode: Epoch 19, loss 0.5806120350247338, f1 0.7451890064436929
Validation mode: Epoch 19, loss 0.773225400182936, f1 0.6804668132325227
Train mode: Epoch 20, loss 0.5685365874142874, f1 0.7558781692963853
Validation mode: Epoch 20, loss 0.7614665693706937, f1 0.6953570256061772
