Dataset: Fi_ATSA 
Encoder_name: bert-base-uncased 
Feature_type: cls
Batch_size: 50
Train mode: Epoch 1, loss 1.0235434486752464, f1 0.2574995660459936
Validation mode: Epoch 1, loss 1.0559184153874714, f1 0.21316614420062696
Train mode: Epoch 2, loss 0.9577593604723612, f1 0.2934374412338858
Validation mode: Epoch 2, loss 1.0045178400145636, f1 0.24377949089867215
Train mode: Epoch 3, loss 0.9156801814124698, f1 0.36991062216653375
Validation mode: Epoch 3, loss 0.9718906018469069, f1 0.29595959595959603
Train mode: Epoch 4, loss 0.8803934681983221, f1 0.4187992413201536
Validation mode: Epoch 4, loss 0.9339613185988532, f1 0.3399853817360296
Train mode: Epoch 5, loss 0.8630462459155491, f1 0.45689688949557
Validation mode: Epoch 5, loss 0.923605826165941, f1 0.357998312979059
Train mode: Epoch 6, loss 0.8376144681658063, f1 0.48791575146254956
Validation mode: Epoch 6, loss 0.915250281492869, f1 0.3398629007766063
Train mode: Epoch 7, loss 0.8263547023137411, f1 0.48878770406548183
Validation mode: Epoch 7, loss 0.8952637712160746, f1 0.38744318322781374
Train mode: Epoch 8, loss 0.8071388375191462, f1 0.5121872883718879
Validation mode: Epoch 8, loss 0.873048914803399, f1 0.42840662855449835
Train mode: Epoch 9, loss 0.7963228452773321, f1 0.5413843617552946
Validation mode: Epoch 9, loss 0.8698907825681899, f1 0.4257001215411605
Train mode: Epoch 10, loss 0.7796682034220014, f1 0.5485095465134343
Validation mode: Epoch 10, loss 0.853964262538486, f1 0.471576145676865
Train mode: Epoch 11, loss 0.7702047682943798, f1 0.5654814560166175
Validation mode: Epoch 11, loss 0.8323935270309448, f1 0.4597208647477948
Train mode: Epoch 12, loss 0.7582911650339762, f1 0.5808478132150089
Validation mode: Epoch 12, loss 0.8353451093037924, f1 0.4749500829829467
Train mode: Epoch 13, loss 0.7541785949752444, f1 0.5749472257962256
Validation mode: Epoch 13, loss 0.822726309299469, f1 0.5102138205446689
Train mode: Epoch 14, loss 0.7422064713069371, f1 0.5916826132098185
Validation mode: Epoch 14, loss 0.8262811766730415, f1 0.49529579714468236
Train mode: Epoch 15, loss 0.7327468991279602, f1 0.6240000289747261
Validation mode: Epoch 15, loss 0.8142603503333198, f1 0.5229966692282187
Train mode: Epoch 16, loss 0.7255708064351764, f1 0.6275007894468706
Validation mode: Epoch 16, loss 0.805769145488739, f1 0.5290052457621913
Train mode: Epoch 17, loss 0.725971710114252, f1 0.6196203005008806
Validation mode: Epoch 17, loss 0.7980418867535062, f1 0.5399578466672521
Train mode: Epoch 18, loss 0.7143749992052714, f1 0.641067746568681
Validation mode: Epoch 18, loss 0.7990122371249728, f1 0.5582925949866365
Train mode: Epoch 19, loss 0.7075354584625789, f1 0.6390506325481461
Validation mode: Epoch 19, loss 0.7886504530906677, f1 0.5666370559129709
Train mode: Epoch 20, loss 0.7021022382236662, f1 0.6604839763733202
Validation mode: Epoch 20, loss 0.7850212057431539, f1 0.5491154567016636
