Dataset: Fi_ATSA 
Encoder_name: bert-base-uncased 
Feature_type: first
Batch_size: 50
Train mode: Epoch 1, loss 1.0459883354959034, f1 0.3127878257811777
Validation mode: Epoch 1, loss 1.0043894714779324, f1 0.3212359041439038
Train mode: Epoch 2, loss 0.9972859081767854, f1 0.35305798610508404
Validation mode: Epoch 2, loss 0.9680997663074069, f1 0.35048168736112
Train mode: Epoch 3, loss 0.9523651685033526, f1 0.4092593446119572
Validation mode: Epoch 3, loss 0.946276863416036, f1 0.3845184476049961
Train mode: Epoch 4, loss 0.9274986244383312, f1 0.4488974311271731
Validation mode: Epoch 4, loss 0.9307042956352234, f1 0.4300666649622253
Train mode: Epoch 5, loss 0.9020137644949413, f1 0.46650884841009505
Validation mode: Epoch 5, loss 0.9178471366564432, f1 0.43208814926130007
Train mode: Epoch 6, loss 0.8801825727735247, f1 0.5086954742204169
Validation mode: Epoch 6, loss 0.9148576325840421, f1 0.4278081089306822
Train mode: Epoch 7, loss 0.8614256126540047, f1 0.5230952120311878
Validation mode: Epoch 7, loss 0.900339252418942, f1 0.4227472479658878
Train mode: Epoch 8, loss 0.8423796069054377, f1 0.5361323488929828
Validation mode: Epoch 8, loss 0.8984800378481547, f1 0.42646162431575707
Train mode: Epoch 9, loss 0.8320829839933486, f1 0.5368595616001077
Validation mode: Epoch 9, loss 0.8917883435885111, f1 0.4418364722460704
Train mode: Epoch 10, loss 0.8138613644100371, f1 0.5569148737775577
Validation mode: Epoch 10, loss 0.879652182261149, f1 0.46400093311277946
Train mode: Epoch 11, loss 0.8068327109018961, f1 0.5747491171881416
Validation mode: Epoch 11, loss 0.8654901915126376, f1 0.45669819563439557
Train mode: Epoch 12, loss 0.7946699602263314, f1 0.5973381415460032
Validation mode: Epoch 12, loss 0.8619322776794434, f1 0.4885815910704611
Train mode: Epoch 13, loss 0.7815519855135963, f1 0.5959613147265607
Validation mode: Epoch 13, loss 0.8596450752682157, f1 0.5036863557785332
Train mode: Epoch 14, loss 0.7720659233274914, f1 0.6139309633018291
Validation mode: Epoch 14, loss 0.8614654077423943, f1 0.4633995353776698
Train mode: Epoch 15, loss 0.7641600569089254, f1 0.6111062103997252
Validation mode: Epoch 15, loss 0.8673629098468356, f1 0.5137700807603721
Train mode: Epoch 16, loss 0.7544999888965062, f1 0.6134837984960412
Validation mode: Epoch 16, loss 0.8474514484405518, f1 0.4890843923101988
Train mode: Epoch 17, loss 0.7523298405465626, f1 0.6171250567623021
Validation mode: Epoch 17, loss 0.848619818687439, f1 0.5160182943233791
Train mode: Epoch 18, loss 0.750187010992141, f1 0.6311302523460145
Validation mode: Epoch 18, loss 0.8428195185131497, f1 0.4980183861082737
Train mode: Epoch 19, loss 0.7329489432630085, f1 0.6442292440113936
Validation mode: Epoch 19, loss 0.8438605070114136, f1 0.5113066492376838
Train mode: Epoch 20, loss 0.7326878905296326, f1 0.6454558780896177
Validation mode: Epoch 20, loss 0.8427901599142287, f1 0.5383275351664155
