Dataset: Fi_ATSA 
Encoder_name: bert-base-uncased 
Feature_type: first
Batch_size: 50
Train mode: Epoch 1, loss 1.0595651467641194, f1 0.2936690966851578
Validation mode: Epoch 1, loss 1.0408153269026015, f1 0.40732658369811214
Train mode: Epoch 2, loss 0.991294957342602, f1 0.34734470510630566
Validation mode: Epoch 2, loss 1.018469426367018, f1 0.4043919709737828
Train mode: Epoch 3, loss 0.9488577331815448, f1 0.4030721257949141
Validation mode: Epoch 3, loss 1.0009021361668904, f1 0.47255929467901686
Train mode: Epoch 4, loss 0.9163874274208432, f1 0.4348667963939601
Validation mode: Epoch 4, loss 0.9897762801912096, f1 0.447696626100382
Train mode: Epoch 5, loss 0.8884651150022235, f1 0.48315325203126225
Validation mode: Epoch 5, loss 0.9777478906843398, f1 0.49612096939834993
Train mode: Epoch 6, loss 0.8667270342508951, f1 0.5131616826466363
Validation mode: Epoch 6, loss 0.9625485870573256, f1 0.4892860750290973
Train mode: Epoch 7, loss 0.8425216050375075, f1 0.5370928154513889
Validation mode: Epoch 7, loss 0.9628557297918532, f1 0.47548113868258524
Train mode: Epoch 8, loss 0.8267972043582371, f1 0.5393762212120211
Validation mode: Epoch 8, loss 0.9593781232833862, f1 0.5092054527665422
Train mode: Epoch 9, loss 0.8135841233389718, f1 0.5529966266151248
Validation mode: Epoch 9, loss 0.9469222558869256, f1 0.5079906728275153
Train mode: Epoch 10, loss 0.7943671799841381, f1 0.5550651648222694
Validation mode: Epoch 10, loss 0.9438899755477905, f1 0.4940896861127297
Train mode: Epoch 11, loss 0.7844451311088744, f1 0.58412418823723
Validation mode: Epoch 11, loss 0.9345070057445102, f1 0.5174664921941611
Train mode: Epoch 12, loss 0.768328580118361, f1 0.5974101768825756
Validation mode: Epoch 12, loss 0.942815727657742, f1 0.4920715790052131
Train mode: Epoch 13, loss 0.7586899342991057, f1 0.6041818379566762
Validation mode: Epoch 13, loss 0.9083891246053908, f1 0.5219902188974354
Train mode: Epoch 14, loss 0.7530225912729899, f1 0.5940656300596443
Validation mode: Epoch 14, loss 0.9212922917471992, f1 0.5078613964635609
Train mode: Epoch 15, loss 0.7487527018501645, f1 0.6021555831374165
Validation mode: Epoch 15, loss 0.9169638951619467, f1 0.5261420990437994
Train mode: Epoch 16, loss 0.7377079072452727, f1 0.6232315961433572
Validation mode: Epoch 16, loss 0.9144325719939338, f1 0.5191498851338868
Train mode: Epoch 17, loss 0.728071989048095, f1 0.6188118717170736
Validation mode: Epoch 17, loss 0.9178030490875244, f1 0.5377000631933925
Train mode: Epoch 18, loss 0.7234784208592915, f1 0.6350965370289042
Validation mode: Epoch 18, loss 0.9133107529746162, f1 0.5175085617619489
Train mode: Epoch 19, loss 0.7164129146507808, f1 0.6474866201469219
Validation mode: Epoch 19, loss 0.9083633687761095, f1 0.5236974262397992
Train mode: Epoch 20, loss 0.7131064392271496, f1 0.6327535570848034
Validation mode: Epoch 20, loss 0.9033778773413764, f1 0.5218919915351823
