Dataset: Fi_ATSA 
Encoder_name: bert-base-uncased 
Feature_type: last
Batch_size: 50
Train mode: Epoch 1, loss 1.0476939933640617, f1 0.2903669968482833
Validation mode: Epoch 1, loss 0.9922020567788018, f1 0.30557443742685425
Train mode: Epoch 2, loss 0.99442153885251, f1 0.3267275977697503
Validation mode: Epoch 2, loss 0.9683062897788154, f1 0.3538996108058145
Train mode: Epoch 3, loss 0.9624952673912048, f1 0.37781859604056184
Validation mode: Epoch 3, loss 0.9369777176115248, f1 0.404964283650491
Train mode: Epoch 4, loss 0.9268501514480227, f1 0.43459865724441066
Validation mode: Epoch 4, loss 0.91835132572386, f1 0.42844579263410126
Train mode: Epoch 5, loss 0.9068252841631571, f1 0.4480534731122788
Validation mode: Epoch 5, loss 0.9139043357637193, f1 0.4289597196856785
Train mode: Epoch 6, loss 0.891449354943775, f1 0.47274162971044514
Validation mode: Epoch 6, loss 0.8959426151381599, f1 0.4045612757848957
Train mode: Epoch 7, loss 0.8670602923347837, f1 0.5083357961163361
Validation mode: Epoch 7, loss 0.8785091108745999, f1 0.4402873481924546
Train mode: Epoch 8, loss 0.8504696119399298, f1 0.5309800583994132
Validation mode: Epoch 8, loss 0.8740468356344435, f1 0.4543888664790576
Train mode: Epoch 9, loss 0.8404673933982849, f1 0.5313988018890282
Validation mode: Epoch 9, loss 0.8693685796525743, f1 0.484475367207815
Train mode: Epoch 10, loss 0.828235231694721, f1 0.5616183362271053
Validation mode: Epoch 10, loss 0.8547932240698073, f1 0.5006033941300941
Train mode: Epoch 11, loss 0.8114828098387945, f1 0.5542134014100354
Validation mode: Epoch 11, loss 0.8580031394958496, f1 0.4876885033976596
Train mode: Epoch 12, loss 0.7975228343691144, f1 0.5772482284612326
Validation mode: Epoch 12, loss 0.8461132513152229, f1 0.5177242318051493
Train mode: Epoch 13, loss 0.7935094123794919, f1 0.5765987141789294
Validation mode: Epoch 13, loss 0.8396774066819085, f1 0.5101040320908965
Train mode: Epoch 14, loss 0.7766950556210109, f1 0.5945942318158649
Validation mode: Epoch 14, loss 0.8348686562644111, f1 0.5129246943960238
Train mode: Epoch 15, loss 0.771742201986767, f1 0.5998584664549039
Validation mode: Epoch 15, loss 0.8322697745429145, f1 0.5182701536189909
Train mode: Epoch 16, loss 0.7674332715216137, f1 0.5908172044527503
Validation mode: Epoch 16, loss 0.8375003470314873, f1 0.5049379350549063
Train mode: Epoch 17, loss 0.7478169585977282, f1 0.618740736920577
Validation mode: Epoch 17, loss 0.8252213928434584, f1 0.5275278770632074
Train mode: Epoch 18, loss 0.74132372935613, f1 0.6166832144959598
Validation mode: Epoch 18, loss 0.8265565700001187, f1 0.5443633910387883
Train mode: Epoch 19, loss 0.7403965166636876, f1 0.6181495004359993
Validation mode: Epoch 19, loss 0.8277293377452426, f1 0.5447113327213459
Train mode: Epoch 20, loss 0.7277702660787673, f1 0.6196970505223243
Validation mode: Epoch 20, loss 0.8083902663654752, f1 0.549730684285671
