Dataset: Fi_ATSA 
Encoder_name: bert-base-uncased 
Feature_type: last
Batch_size: 50
Train mode: Epoch 1, loss 1.0719960161617823, f1 0.29178378446044356
Validation mode: Epoch 1, loss 1.0626412100262113, f1 0.3568589565598539
Train mode: Epoch 2, loss 1.0043747708910988, f1 0.30857870076215327
Validation mode: Epoch 2, loss 1.0240182214313083, f1 0.3789892025186143
Train mode: Epoch 3, loss 0.954915790330796, f1 0.3970230355955917
Validation mode: Epoch 3, loss 1.0056330760320027, f1 0.41533989266547405
Train mode: Epoch 4, loss 0.9209170511790684, f1 0.4352593055353842
Validation mode: Epoch 4, loss 0.9880670507748922, f1 0.43736813078130443
Train mode: Epoch 5, loss 0.8902892072995504, f1 0.47230201878347705
Validation mode: Epoch 5, loss 0.9777931438552009, f1 0.44225098248559114
Train mode: Epoch 6, loss 0.8678473461241949, f1 0.4960657656678978
Validation mode: Epoch 6, loss 0.9676073988278707, f1 0.47309967487710597
Train mode: Epoch 7, loss 0.8494984592710223, f1 0.5365553325612313
Validation mode: Epoch 7, loss 0.9614587227503458, f1 0.49549249674072837
Train mode: Epoch 8, loss 0.8323202275094532, f1 0.5212477080517963
Validation mode: Epoch 8, loss 0.9473757280243768, f1 0.47148758211376807
Train mode: Epoch 9, loss 0.8151018704686847, f1 0.5281297838795357
Validation mode: Epoch 9, loss 0.9406637416945564, f1 0.4565956583251341
Train mode: Epoch 10, loss 0.8014709495362782, f1 0.5479033467394893
Validation mode: Epoch 10, loss 0.937990148862203, f1 0.4613273742685508
Train mode: Epoch 11, loss 0.7909144957860311, f1 0.5848544908800538
Validation mode: Epoch 11, loss 0.9382621645927429, f1 0.4895949884002453
Train mode: Epoch 12, loss 0.7757579144977388, f1 0.5859164551140246
Validation mode: Epoch 12, loss 0.9294706251886156, f1 0.4893054812922179
Train mode: Epoch 13, loss 0.7700436228797549, f1 0.5911952160231492
Validation mode: Epoch 13, loss 0.915585438410441, f1 0.5134633569739954
Train mode: Epoch 14, loss 0.7606688666911352, f1 0.5887758566423572
Validation mode: Epoch 14, loss 0.9165103236834208, f1 0.4817712724026369
Train mode: Epoch 15, loss 0.7402548690636953, f1 0.6045374657199284
Validation mode: Epoch 15, loss 0.9172892702950372, f1 0.49804195182346445
Train mode: Epoch 16, loss 0.7449004962330773, f1 0.6057394945210843
Validation mode: Epoch 16, loss 0.9149840341673957, f1 0.5024855024590765
Train mode: Epoch 17, loss 0.7359241644541422, f1 0.6022674026416023
Validation mode: Epoch 17, loss 0.9119339916441176, f1 0.499094632152564
Train mode: Epoch 18, loss 0.7280543574265071, f1 0.6250898536758843
Validation mode: Epoch 18, loss 0.9073301884863112, f1 0.5153266144083614
Train mode: Epoch 19, loss 0.7212035414718446, f1 0.6231797641291644
Validation mode: Epoch 19, loss 0.9056503507826064, f1 0.5025029967641158
Train mode: Epoch 20, loss 0.7131804823875427, f1 0.6328401554860953
Validation mode: Epoch 20, loss 0.8938928378952874, f1 0.5272201792762625
