Dataset: Fi_ATSA 
Encoder_name: bert-base-uncased 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.061686092898959, f1 0.2727334259335711
Validation mode: Epoch 1, loss 1.0505064328511555, f1 0.3451352727653461
Train mode: Epoch 2, loss 1.0015547332309542, f1 0.31588413366267437
Validation mode: Epoch 2, loss 1.024046606487698, f1 0.36862026862026864
Train mode: Epoch 3, loss 0.9608850081761678, f1 0.3652892737572126
Validation mode: Epoch 3, loss 1.0047860741615295, f1 0.4092981564693752
Train mode: Epoch 4, loss 0.9297643758001781, f1 0.4159890216268609
Validation mode: Epoch 4, loss 0.9880617724524604, f1 0.43948226500508963
Train mode: Epoch 5, loss 0.903039486635299, f1 0.44376217111991184
Validation mode: Epoch 5, loss 0.9770921270052592, f1 0.44521541116523194
Train mode: Epoch 6, loss 0.8828666238557725, f1 0.4762641639225427
Validation mode: Epoch 6, loss 0.9650498827298483, f1 0.4551148711107696
Train mode: Epoch 7, loss 0.8630076902253287, f1 0.4911849286809762
Validation mode: Epoch 7, loss 0.9561053978072273, f1 0.459093812963782
Train mode: Epoch 8, loss 0.8446361337389264, f1 0.49894650842793253
Validation mode: Epoch 8, loss 0.9505977299478319, f1 0.504996516013746
Train mode: Epoch 9, loss 0.8316199268613543, f1 0.5139452964625633
Validation mode: Epoch 9, loss 0.9425584806336297, f1 0.48461031393510984
Train mode: Epoch 10, loss 0.8153472258931115, f1 0.5317303282348808
Validation mode: Epoch 10, loss 0.9354715281062655, f1 0.5121569439908796
Train mode: Epoch 11, loss 0.8047809515680585, f1 0.5486762473453791
Validation mode: Epoch 11, loss 0.9298035701115926, f1 0.4996089256958822
Train mode: Epoch 12, loss 0.7920602716150738, f1 0.5595543802642768
Validation mode: Epoch 12, loss 0.9278590083122253, f1 0.5058353448906444
Train mode: Epoch 13, loss 0.7843018202554612, f1 0.5570228109618262
Validation mode: Epoch 13, loss 0.9074818756845262, f1 0.5102264168275162
Train mode: Epoch 14, loss 0.7765051012947446, f1 0.5747230496661021
Validation mode: Epoch 14, loss 0.9144720964961581, f1 0.5228694105265554
Train mode: Epoch 15, loss 0.7677662046182723, f1 0.582562435931524
Validation mode: Epoch 15, loss 0.9082655178176032, f1 0.5180998509052933
Train mode: Epoch 16, loss 0.7603746170089358, f1 0.5856223419093533
Validation mode: Epoch 16, loss 0.9059816400210062, f1 0.5164867839138513
Train mode: Epoch 17, loss 0.7510117576235816, f1 0.5835704119253488
Validation mode: Epoch 17, loss 0.9028580188751221, f1 0.5272486910042455
Train mode: Epoch 18, loss 0.7461118357522147, f1 0.5985068800963851
Validation mode: Epoch 18, loss 0.9017966257201301, f1 0.5255109231853418
Train mode: Epoch 19, loss 0.739236063900448, f1 0.6030683500529697
Validation mode: Epoch 19, loss 0.8959243098894755, f1 0.5167266973318391
Train mode: Epoch 20, loss 0.7312214516458058, f1 0.6146480600847352
Validation mode: Epoch 20, loss 0.8814152280489603, f1 0.5346058834425923
