Dataset: Fi_ATSA 
Encoder_name: bert-base-uncased 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.020712761651902, f1 0.2614682480647697
Validation mode: Epoch 1, loss 1.048332479265001, f1 0.22970323264440914
Train mode: Epoch 2, loss 0.9714776958738055, f1 0.30363483229048865
Validation mode: Epoch 2, loss 1.0235830148061116, f1 0.2762985116709967
Train mode: Epoch 3, loss 0.9413134256998698, f1 0.33489728521227957
Validation mode: Epoch 3, loss 1.0017743441793654, f1 0.3239061761036475
Train mode: Epoch 4, loss 0.9130288589568365, f1 0.3706142616327724
Validation mode: Epoch 4, loss 0.9864857527944777, f1 0.35157165341930474
Train mode: Epoch 5, loss 0.8871813813845316, f1 0.40154865760465275
Validation mode: Epoch 5, loss 0.9699807167053223, f1 0.37717698095056584
Train mode: Epoch 6, loss 0.8725222235634214, f1 0.4191266999987278
Validation mode: Epoch 6, loss 0.9663658539454142, f1 0.39862787071288786
Train mode: Epoch 7, loss 0.8538308540980021, f1 0.44940380508543304
Validation mode: Epoch 7, loss 0.9420639475186666, f1 0.42533174886116054
Train mode: Epoch 8, loss 0.8381973476636977, f1 0.4705713482257703
Validation mode: Epoch 8, loss 0.9367265568839179, f1 0.43120307399482244
Train mode: Epoch 9, loss 0.8202359506062099, f1 0.5010346446235925
Validation mode: Epoch 9, loss 0.9364569054709541, f1 0.4316133662413136
Train mode: Epoch 10, loss 0.8087583155859084, f1 0.5065158322158526
Validation mode: Epoch 10, loss 0.9188793765174018, f1 0.4563402703310961
Train mode: Epoch 11, loss 0.8040053872835069, f1 0.5214566204846284
Validation mode: Epoch 11, loss 0.9137016932169596, f1 0.46624289859306195
Train mode: Epoch 12, loss 0.7910598544847398, f1 0.5453537373410436
Validation mode: Epoch 12, loss 0.9117801056967841, f1 0.4757662020492445
Train mode: Epoch 13, loss 0.7832515778995696, f1 0.55229210189021
Validation mode: Epoch 13, loss 0.9006527264912924, f1 0.4900580936097029
Train mode: Epoch 14, loss 0.7721090799286252, f1 0.5724903426057443
Validation mode: Epoch 14, loss 0.897732847266727, f1 0.5126977697212742
Train mode: Epoch 15, loss 0.7635817839985802, f1 0.5668558146054291
Validation mode: Epoch 15, loss 0.8990052077505324, f1 0.5046257735329865
Train mode: Epoch 16, loss 0.7532967031002045, f1 0.6071304833718902
Validation mode: Epoch 16, loss 0.8921266396840414, f1 0.5176589904745243
Train mode: Epoch 17, loss 0.7514411948976063, f1 0.5992852100756831
Validation mode: Epoch 17, loss 0.889636582798428, f1 0.5214030331087715
Train mode: Epoch 18, loss 0.741371343533198, f1 0.6071726745731821
Validation mode: Epoch 18, loss 0.8826861315303378, f1 0.5343380212188502
Train mode: Epoch 19, loss 0.7331234457946959, f1 0.6209111648313794
Validation mode: Epoch 19, loss 0.8754933873812357, f1 0.5434853061724616
Train mode: Epoch 20, loss 0.7293250518185752, f1 0.6156776375690803
Validation mode: Epoch 20, loss 0.8822088572714064, f1 0.5276237835467202
