Dataset: Fi_ATSA 
Encoder_name: distilbert-base-uncased 
Feature_type: cls
Batch_size: 50
Train mode: Epoch 1, loss 1.0529171710922605, f1 0.22791451807516064
Validation mode: Epoch 1, loss 1.0352850887510512, f1 0.22187981510015406
Train mode: Epoch 2, loss 1.0323185977481661, f1 0.2356337934589995
Validation mode: Epoch 2, loss 1.0134834978315566, f1 0.22222222222222224
Train mode: Epoch 3, loss 1.0110143423080444, f1 0.25108222003664216
Validation mode: Epoch 3, loss 0.9984020855691698, f1 0.24194261759163113
Train mode: Epoch 4, loss 0.9926321251051766, f1 0.2639851058504634
Validation mode: Epoch 4, loss 0.9813145597775778, f1 0.25862771236021626
Train mode: Epoch 5, loss 0.9782372003509885, f1 0.29824400463652073
Validation mode: Epoch 5, loss 0.9656131002638075, f1 0.3040603628838923
Train mode: Epoch 6, loss 0.9642831143878755, f1 0.30914049534153637
Validation mode: Epoch 6, loss 0.956229031085968, f1 0.36195934359129994
Train mode: Epoch 7, loss 0.9495142215774173, f1 0.33242459244672645
Validation mode: Epoch 7, loss 0.9410736958185831, f1 0.39020132734180746
Train mode: Epoch 8, loss 0.9405472079912821, f1 0.37954607788679273
Validation mode: Epoch 8, loss 0.9382600585619608, f1 0.3915653217808863
Train mode: Epoch 9, loss 0.927196843283517, f1 0.40937191690431124
Validation mode: Epoch 9, loss 0.9269621968269348, f1 0.4343452126250586
Train mode: Epoch 10, loss 0.9171295506613595, f1 0.4052515339493004
Validation mode: Epoch 10, loss 0.9093378053771125, f1 0.46533556388083847
Train mode: Epoch 11, loss 0.9093907532237825, f1 0.427817656176815
Validation mode: Epoch 11, loss 0.9001509878370497, f1 0.44449147560258684
Train mode: Epoch 12, loss 0.8965574162346976, f1 0.44778863961952814
Validation mode: Epoch 12, loss 0.8980579972267151, f1 0.4825031833470054
Train mode: Epoch 13, loss 0.8947617014249166, f1 0.451817651557663
Validation mode: Epoch 13, loss 0.8894573913680183, f1 0.4893679210814761
Train mode: Epoch 14, loss 0.8865206128075009, f1 0.46721512891473616
Validation mode: Epoch 14, loss 0.8813158008787367, f1 0.49755799755799757
Train mode: Epoch 15, loss 0.8797808601742699, f1 0.4741765590590214
Validation mode: Epoch 15, loss 0.8686172366142273, f1 0.5016122689850524
Train mode: Epoch 16, loss 0.8727877878007435, f1 0.49200559660432613
Validation mode: Epoch 16, loss 0.8701392875777351, f1 0.5231470377920792
Train mode: Epoch 17, loss 0.8663327779088702, f1 0.492077158408442
Validation mode: Epoch 17, loss 0.857192231549157, f1 0.53396425905651
Train mode: Epoch 18, loss 0.8556410329682487, f1 0.5076882168799932
Validation mode: Epoch 18, loss 0.8497366905212402, f1 0.5101437310810525
Train mode: Epoch 19, loss 0.8533231928235009, f1 0.5140549298254145
Validation mode: Epoch 19, loss 0.8535732295778062, f1 0.513128363310396
Train mode: Epoch 20, loss 0.8493411200387138, f1 0.5290701087751989
Validation mode: Epoch 20, loss 0.8422907127274407, f1 0.5226582877629736
