Dataset: Fi_ATSA 
Encoder_name: distilbert-base-uncased 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.0519780630157107, f1 0.23792237015228324
Validation mode: Epoch 1, loss 1.0428087446424696, f1 0.23502674697983025
Train mode: Epoch 2, loss 1.0323744927133833, f1 0.25033809900226583
Validation mode: Epoch 2, loss 1.0237290859222412, f1 0.23582964515878566
Train mode: Epoch 3, loss 1.0114203038669767, f1 0.2708156194897027
Validation mode: Epoch 3, loss 1.0097074839803908, f1 0.25549067872612435
Train mode: Epoch 4, loss 0.9988267790703547, f1 0.28458746717245403
Validation mode: Epoch 4, loss 0.9930154018931918, f1 0.2772805649068068
Train mode: Epoch 5, loss 0.9807412794658116, f1 0.30115733382778836
Validation mode: Epoch 5, loss 0.9840048087967767, f1 0.29385626480057475
Train mode: Epoch 6, loss 0.9697241016796657, f1 0.32750363453531983
Validation mode: Epoch 6, loss 0.9754820598496331, f1 0.3157022568787275
Train mode: Epoch 7, loss 0.9583979873430162, f1 0.3429303954929824
Validation mode: Epoch 7, loss 0.9668401810857985, f1 0.3136273951341936
Train mode: Epoch 8, loss 0.9479322887602306, f1 0.36019836420132934
Validation mode: Epoch 8, loss 0.9536564018991258, f1 0.33798900435376744
Train mode: Epoch 9, loss 0.9411309077626183, f1 0.36844389065870803
Validation mode: Epoch 9, loss 0.9464650220341153, f1 0.3428997333702159
Train mode: Epoch 10, loss 0.9297517140706381, f1 0.38093144020431496
Validation mode: Epoch 10, loss 0.9388973911603292, f1 0.3539639889393584
Train mode: Epoch 11, loss 0.9194120849881854, f1 0.4096302995148284
Validation mode: Epoch 11, loss 0.936094151602851, f1 0.3636613320331064
Train mode: Epoch 12, loss 0.9104619508697873, f1 0.4154351496338904
Validation mode: Epoch 12, loss 0.9329030050171746, f1 0.36841490626001366
Train mode: Epoch 13, loss 0.9019356426738557, f1 0.4194151112969351
Validation mode: Epoch 13, loss 0.9214814503987631, f1 0.37173414820473644
Train mode: Epoch 14, loss 0.8932058158374968, f1 0.43671809350462754
Validation mode: Epoch 14, loss 0.9228246212005615, f1 0.3875716921107674
Train mode: Epoch 15, loss 0.8866464949789501, f1 0.4639359757723039
Validation mode: Epoch 15, loss 0.9160653750101725, f1 0.3747286491422625
Train mode: Epoch 16, loss 0.8793226735932487, f1 0.4660318828790757
Validation mode: Epoch 16, loss 0.9061584207746718, f1 0.3948137749766431
Train mode: Epoch 17, loss 0.8714915003095355, f1 0.463143082659699
Validation mode: Epoch 17, loss 0.9053177502420213, f1 0.3994139176051627
Train mode: Epoch 18, loss 0.8662750692594618, f1 0.47416424582149946
Validation mode: Epoch 18, loss 0.8978201813167996, f1 0.41350568113096126
Train mode: Epoch 19, loss 0.861880191734859, f1 0.49698269818324636
Validation mode: Epoch 19, loss 0.8980559839142693, f1 0.41872464805535675
Train mode: Epoch 20, loss 0.8573306770551772, f1 0.49171200311282187
Validation mode: Epoch 20, loss 0.8949979941050211, f1 0.40902008067958384
