Dataset: Fi_ATSA 
Encoder_name: distilroberta-base 
Feature_type: cls
Batch_size: 50
Train mode: Epoch 1, loss 1.065372489747547, f1 0.2298701140164555
Validation mode: Epoch 1, loss 1.1512427992290921, f1 0.21316614420062696
Train mode: Epoch 2, loss 1.0440862292335147, f1 0.22657952069716777
Validation mode: Epoch 2, loss 1.0998244550493028, f1 0.21316614420062696
Train mode: Epoch 3, loss 1.0315825116066706, f1 0.22657952069716777
Validation mode: Epoch 3, loss 1.1868501040670607, f1 0.21316614420062696
Train mode: Epoch 4, loss 1.0400602249872117, f1 0.22657952069716777
Validation mode: Epoch 4, loss 1.115992499722375, f1 0.21316614420062696
Train mode: Epoch 5, loss 1.0321709996178037, f1 0.22657952069716777
Validation mode: Epoch 5, loss 1.1262501809332106, f1 0.21316614420062696
Train mode: Epoch 6, loss 1.0256578127543132, f1 0.22657952069716777
Validation mode: Epoch 6, loss 1.16739241944419, f1 0.21316614420062696
Train mode: Epoch 7, loss 1.028192693278903, f1 0.22657952069716777
Validation mode: Epoch 7, loss 1.1713486711184184, f1 0.21316614420062696
Train mode: Epoch 8, loss 1.0343115017527627, f1 0.22657952069716777
Validation mode: Epoch 8, loss 1.109720720185174, f1 0.21316614420062696
Train mode: Epoch 9, loss 1.0235608447165716, f1 0.22657952069716777
Validation mode: Epoch 9, loss 1.1342960993448894, f1 0.21316614420062696
Train mode: Epoch 10, loss 1.0205656431970143, f1 0.22657952069716777
Validation mode: Epoch 10, loss 1.1275886297225952, f1 0.21316614420062696
Train mode: Epoch 11, loss 1.0232946106365748, f1 0.22657952069716777
Validation mode: Epoch 11, loss 1.1319100724326239, f1 0.21316614420062696
Train mode: Epoch 12, loss 1.0298127106257848, f1 0.22958430123227358
Validation mode: Epoch 12, loss 1.1804293261633978, f1 0.21316614420062696
Train mode: Epoch 13, loss 1.0197322851135617, f1 0.22657952069716777
Validation mode: Epoch 13, loss 1.137059337562985, f1 0.21316614420062696
Train mode: Epoch 14, loss 1.0185350264821733, f1 0.22657952069716777
Validation mode: Epoch 14, loss 1.1178293824195862, f1 0.21316614420062696
Train mode: Epoch 15, loss 1.019073037874131, f1 0.22657952069716777
Validation mode: Epoch 15, loss 1.103686961862776, f1 0.21316614420062696
Train mode: Epoch 16, loss 1.0158043390228635, f1 0.22657952069716777
Validation mode: Epoch 16, loss 1.095657938056522, f1 0.21316614420062696
Train mode: Epoch 17, loss 1.0138410244669234, f1 0.22657952069716777
Validation mode: Epoch 17, loss 1.1289118727048237, f1 0.21316614420062696
Train mode: Epoch 18, loss 1.0152808740025474, f1 0.22657952069716777
Validation mode: Epoch 18, loss 1.1282288034756978, f1 0.21316614420062696
Train mode: Epoch 19, loss 1.012763412225814, f1 0.22657952069716777
Validation mode: Epoch 19, loss 1.1019426186879475, f1 0.21316614420062696
Train mode: Epoch 20, loss 1.008722152028765, f1 0.22657952069716777
Validation mode: Epoch 20, loss 1.109284480412801, f1 0.21316614420062696
