Dataset: Fi_ATSA 
Encoder_name: distilroberta-base 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.0547531985101246, f1 0.2322122648634717
Validation mode: Epoch 1, loss 1.0671963161892362, f1 0.30424857435592445
Train mode: Epoch 2, loss 1.0416280939465477, f1 0.255225838331465
Validation mode: Epoch 2, loss 1.0797996123631795, f1 0.3675538640197624
Train mode: Epoch 3, loss 1.0349508325258892, f1 0.2553590559863543
Validation mode: Epoch 3, loss 1.0524020327462091, f1 0.3200405515004055
Train mode: Epoch 4, loss 1.0209036895206995, f1 0.24434878846643548
Validation mode: Epoch 4, loss 1.062511192427741, f1 0.432575713481947
Train mode: Epoch 5, loss 1.0093174633525668, f1 0.2599587727756841
Validation mode: Epoch 5, loss 1.0538073380788167, f1 0.43554773648203976
Train mode: Epoch 6, loss 1.002209143979209, f1 0.2715400521416879
Validation mode: Epoch 6, loss 1.0292160246107314, f1 0.3912698637563064
Train mode: Epoch 7, loss 0.9920356500716436, f1 0.3064542249233989
Validation mode: Epoch 7, loss 1.0388806528515286, f1 0.411919587423299
Train mode: Epoch 8, loss 0.9846836186590648, f1 0.30526389208346677
Validation mode: Epoch 8, loss 1.0571798880894978, f1 0.4568728926527091
Train mode: Epoch 9, loss 0.9802911281585693, f1 0.3261596924419274
Validation mode: Epoch 9, loss 1.031852079762353, f1 0.44971637997300845
Train mode: Epoch 10, loss 0.9726025348617917, f1 0.3442362568767063
Validation mode: Epoch 10, loss 1.0364089608192444, f1 0.45422484368022165
Train mode: Epoch 11, loss 0.9707190791765848, f1 0.3577785155300685
Validation mode: Epoch 11, loss 1.0334603322876825, f1 0.4357059955071983
Train mode: Epoch 12, loss 0.9608240666843596, f1 0.36645189846892484
Validation mode: Epoch 12, loss 1.0176619754897223, f1 0.46660851540537013
Train mode: Epoch 13, loss 0.954246685618446, f1 0.37518851218648375
Validation mode: Epoch 13, loss 1.0230478909280565, f1 0.46739647728835676
Train mode: Epoch 14, loss 0.9492354024024237, f1 0.39820139752852785
Validation mode: Epoch 14, loss 1.0024395717514887, f1 0.44685277853692656
Train mode: Epoch 15, loss 0.9430543581644694, f1 0.385485693378816
Validation mode: Epoch 15, loss 1.0127024120754666, f1 0.4520266950345137
Train mode: Epoch 16, loss 0.9447714686393738, f1 0.3950902255720221
Validation mode: Epoch 16, loss 1.0107676453060574, f1 0.47906210956525425
Train mode: Epoch 17, loss 0.938867639927637, f1 0.39478817982219344
Validation mode: Epoch 17, loss 1.0222650302781, f1 0.43972728699296076
Train mode: Epoch 18, loss 0.9380337539173308, f1 0.4219495432986667
Validation mode: Epoch 18, loss 1.018361700905694, f1 0.44716367271224405
Train mode: Epoch 19, loss 0.9265098202796209, f1 0.4230691033961312
Validation mode: Epoch 19, loss 1.024556385146247, f1 0.4750957572507368
Train mode: Epoch 20, loss 0.9304126245634896, f1 0.42587478863252054
Validation mode: Epoch 20, loss 1.0041444102923076, f1 0.45000035159518736
