Dataset: Fi_ATSA 
Encoder_name: google-electra-base-discriminator 
Feature_type: cls
Batch_size: 50
Train mode: Epoch 1, loss 1.0492602529979886, f1 0.2296169276628268
Validation mode: Epoch 1, loss 1.0525334941016302, f1 0.23270314776265755
Train mode: Epoch 2, loss 1.0336367005393619, f1 0.22618524792437836
Validation mode: Epoch 2, loss 1.0456767214669123, f1 0.27197562062855246
Train mode: Epoch 3, loss 1.0200385252634685, f1 0.2318979931119406
Validation mode: Epoch 3, loss 1.032049020131429, f1 0.27464858757062144
Train mode: Epoch 4, loss 1.012187727860042, f1 0.23451026239912928
Validation mode: Epoch 4, loss 1.0217272374365065, f1 0.31040801312368344
Train mode: Epoch 5, loss 1.0036216037614005, f1 0.24639735898408544
Validation mode: Epoch 5, loss 1.012591540813446, f1 0.34635831359647357
Train mode: Epoch 6, loss 0.9941118983995347, f1 0.27856747356190187
Validation mode: Epoch 6, loss 1.0065555440054998, f1 0.3480967266133506
Train mode: Epoch 7, loss 0.98562319789614, f1 0.28371638959153095
Validation mode: Epoch 7, loss 1.004750861061944, f1 0.34333937667271
Train mode: Epoch 8, loss 0.9801598134494963, f1 0.28398855069402423
Validation mode: Epoch 8, loss 0.9979579713609483, f1 0.39306593940533846
Train mode: Epoch 9, loss 0.9716180506206694, f1 0.30388274364548074
Validation mode: Epoch 9, loss 0.9919157491789924, f1 0.4120157019527073
Train mode: Epoch 10, loss 0.9663547249067397, f1 0.30625120493541547
Validation mode: Epoch 10, loss 0.9839386940002441, f1 0.41703226233082097
Train mode: Epoch 11, loss 0.9642905763217381, f1 0.3294405325232574
Validation mode: Epoch 11, loss 0.9766620000203451, f1 0.4189400460238551
Train mode: Epoch 12, loss 0.9522328461919513, f1 0.3240044956019668
Validation mode: Epoch 12, loss 0.9742433693673875, f1 0.4027743218878695
Train mode: Epoch 13, loss 0.948754696618943, f1 0.3299595752642817
Validation mode: Epoch 13, loss 0.976963029967414, f1 0.4095613912521873
Train mode: Epoch 14, loss 0.9411222338676453, f1 0.35348026661958115
Validation mode: Epoch 14, loss 0.9640216893619962, f1 0.45682783039711233
Train mode: Epoch 15, loss 0.9377268524396987, f1 0.3763302025876621
Validation mode: Epoch 15, loss 0.9641022947099473, f1 0.4490198881153376
Train mode: Epoch 16, loss 0.9399513829322088, f1 0.3838956820835213
Validation mode: Epoch 16, loss 0.9599332478311327, f1 0.47984795692112764
Train mode: Epoch 17, loss 0.9292515942028591, f1 0.38618336769189865
Validation mode: Epoch 17, loss 0.9527619547314115, f1 0.4287516860288039
Train mode: Epoch 18, loss 0.9244562983512878, f1 0.3863349924354311
Validation mode: Epoch 18, loss 0.9464430809020996, f1 0.47792675826162573
Train mode: Epoch 19, loss 0.9212163913817633, f1 0.4100538625971213
Validation mode: Epoch 19, loss 0.9429042670461867, f1 0.45855252805802255
Train mode: Epoch 20, loss 0.9189035097757975, f1 0.4158633427585468
Validation mode: Epoch 20, loss 0.9368518193562826, f1 0.4610877559602229
