Dataset: Fi_ATSA 
Encoder_name: google-electra-base-discriminator 
Feature_type: cls
Batch_size: 50
Train mode: Epoch 1, loss 1.0500812502134413, f1 0.23932704001394403
Validation mode: Epoch 1, loss 1.0744133260515, f1 0.21316614420062696
Train mode: Epoch 2, loss 1.0185349810691107, f1 0.22940508491344933
Validation mode: Epoch 2, loss 1.0747617946730719, f1 0.21316614420062696
Train mode: Epoch 3, loss 1.0055542616617112, f1 0.22940508491344933
Validation mode: Epoch 3, loss 1.0641543865203857, f1 0.21316614420062696
Train mode: Epoch 4, loss 0.9972268683569772, f1 0.2377554487646231
Validation mode: Epoch 4, loss 1.0571320520506964, f1 0.2256358880169199
Train mode: Epoch 5, loss 0.9858206538926988, f1 0.25328330206378985
Validation mode: Epoch 5, loss 1.0518807570139568, f1 0.2256358880169199
Train mode: Epoch 6, loss 0.9790938297907511, f1 0.2505085730892182
Validation mode: Epoch 6, loss 1.0467678043577406, f1 0.23171708799557952
Train mode: Epoch 7, loss 0.9683689787274316, f1 0.273267825648778
Validation mode: Epoch 7, loss 1.044515503777398, f1 0.23171708799557952
Train mode: Epoch 8, loss 0.9638410721506391, f1 0.2817390706559298
Validation mode: Epoch 8, loss 1.0306633181042142, f1 0.24358555319496647
Train mode: Epoch 9, loss 0.9559859463146755, f1 0.29129734130071017
Validation mode: Epoch 9, loss 1.0254428452915616, f1 0.2367852408708758
Train mode: Epoch 10, loss 0.9515149479820615, f1 0.30488152499574
Validation mode: Epoch 10, loss 1.0228519439697266, f1 0.2596007772478361
Train mode: Epoch 11, loss 0.9474298187664577, f1 0.30343996459389594
Validation mode: Epoch 11, loss 1.0188359287050035, f1 0.2638537634408602
Train mode: Epoch 12, loss 0.9368975162506104, f1 0.3238416372013286
Validation mode: Epoch 12, loss 1.0211515824000041, f1 0.25957607341510064
Train mode: Epoch 13, loss 0.9303946864037287, f1 0.3532797777965682
Validation mode: Epoch 13, loss 1.011288305123647, f1 0.26274358974358974
Train mode: Epoch 14, loss 0.9311188941910153, f1 0.32878055666160216
Validation mode: Epoch 14, loss 1.0042519105805292, f1 0.2833124947903643
Train mode: Epoch 15, loss 0.9251130336806888, f1 0.3659479449094892
Validation mode: Epoch 15, loss 1.0100048383076985, f1 0.2794980209467386
Train mode: Epoch 16, loss 0.9195329149564108, f1 0.3630516420501091
Validation mode: Epoch 16, loss 1.008040898376041, f1 0.278280998389694
Train mode: Epoch 17, loss 0.9178819769904727, f1 0.3561373440561713
Validation mode: Epoch 17, loss 0.9953929583231608, f1 0.2781445361340335
Train mode: Epoch 18, loss 0.910505337374551, f1 0.37270219574092467
Validation mode: Epoch 18, loss 1.0045543776618109, f1 0.2831448572967151
Train mode: Epoch 19, loss 0.9076558578582037, f1 0.3659542678965832
Validation mode: Epoch 19, loss 0.9967525800069174, f1 0.28995138022582606
Train mode: Epoch 20, loss 0.9058710336685181, f1 0.36111632598434595
Validation mode: Epoch 20, loss 0.9883826639917161, f1 0.29992784992785
