Dataset: Fi_ATSA 
Encoder_name: google-electra-base-discriminator 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.060823102792104, f1 0.315215539114624
Validation mode: Epoch 1, loss 1.053166879547967, f1 0.3054148240788423
Train mode: Epoch 2, loss 1.0332414678164892, f1 0.2820928249533941
Validation mode: Epoch 2, loss 1.0269797179434035, f1 0.28778238557821584
Train mode: Epoch 3, loss 1.0109887634004866, f1 0.33608236964901606
Validation mode: Epoch 3, loss 1.0116259190771315, f1 0.2776295655378502
Train mode: Epoch 4, loss 1.002726429984683, f1 0.3227807296507958
Validation mode: Epoch 4, loss 1.0101142393218145, f1 0.32995935830102197
Train mode: Epoch 5, loss 0.993451197942098, f1 0.3392969525636495
Validation mode: Epoch 5, loss 1.0071113308270772, f1 0.39241296591119906
Train mode: Epoch 6, loss 0.9795726197106498, f1 0.3807416772989048
Validation mode: Epoch 6, loss 1.0022243327564664, f1 0.36396646107863884
Train mode: Epoch 7, loss 0.9747625163623265, f1 0.36777138574270535
Validation mode: Epoch 7, loss 0.9891021251678467, f1 0.3363078372220312
Train mode: Epoch 8, loss 0.9665043921697707, f1 0.4003092466642553
Validation mode: Epoch 8, loss 0.9850751956303915, f1 0.3438107879365285
Train mode: Epoch 9, loss 0.9581433506239028, f1 0.3978235747798804
Validation mode: Epoch 9, loss 0.9870255788167318, f1 0.38082725442518367
Train mode: Epoch 10, loss 0.9505135331835065, f1 0.42500730861509295
Validation mode: Epoch 10, loss 0.9729613264401754, f1 0.385612450654625
Train mode: Epoch 11, loss 0.947405545484452, f1 0.4224811739581306
Validation mode: Epoch 11, loss 0.977508438958062, f1 0.42429615901880924
Train mode: Epoch 12, loss 0.9407194597380502, f1 0.44524750556165804
Validation mode: Epoch 12, loss 0.9694923493597243, f1 0.4051885987369858
Train mode: Epoch 13, loss 0.930759140423366, f1 0.43061686383855485
Validation mode: Epoch 13, loss 0.9616547028223673, f1 0.4177174999351792
Train mode: Epoch 14, loss 0.9250464865139553, f1 0.4593743573718542
Validation mode: Epoch 14, loss 0.961883889304267, f1 0.40956665052543945
Train mode: Epoch 15, loss 0.9211974342664083, f1 0.46094747286270676
Validation mode: Epoch 15, loss 0.9622552990913391, f1 0.40890616999487966
Train mode: Epoch 16, loss 0.9114684121949332, f1 0.4580074101128597
Validation mode: Epoch 16, loss 0.9553270472420586, f1 0.4120566699331951
Train mode: Epoch 17, loss 0.9125526291983468, f1 0.4577937807138464
Validation mode: Epoch 17, loss 0.951531297630734, f1 0.4333037750094546
Train mode: Epoch 18, loss 0.8996588247162955, f1 0.48000460472276596
Validation mode: Epoch 18, loss 0.9552865558200412, f1 0.43763148609270314
Train mode: Epoch 19, loss 0.8994512614749727, f1 0.47035722871947855
Validation mode: Epoch 19, loss 0.9425767130321927, f1 0.41517657933320584
Train mode: Epoch 20, loss 0.8952272903351557, f1 0.47032723590100645
Validation mode: Epoch 20, loss 0.9412780536545647, f1 0.4178880316813928
