Dataset: Fi_ATSA 
Encoder_name: google-mobilebert-uncased 
Feature_type: cls
Batch_size: 50
Train mode: Epoch 1, loss 457205097229979.44, f1 0.3417038365497742
Validation mode: Epoch 1, loss 381908512465806.25, f1 0.22085259373394964
Train mode: Epoch 2, loss 488781370347324.94, f1 0.3412795057578661
Validation mode: Epoch 2, loss 314537023518947.56, f1 0.13284132841328414
Train mode: Epoch 3, loss 504469407886774.9, f1 0.3155275619825441
Validation mode: Epoch 3, loss 242564821155840.0, f1 0.22085259373394964
Train mode: Epoch 4, loss 481759281170724.56, f1 0.3260948720608383
Validation mode: Epoch 4, loss 195762197160846.22, f1 0.22085259373394964
Train mode: Epoch 5, loss 494324111925638.1, f1 0.32931907485706324
Validation mode: Epoch 5, loss 536827593228288.0, f1 0.13577981651376145
Train mode: Epoch 6, loss 491890849574326.9, f1 0.3273518559040987
Validation mode: Epoch 6, loss 365084607337813.3, f1 0.13577981651376145
Train mode: Epoch 7, loss 502267067535945.1, f1 0.32931235076461407
Validation mode: Epoch 7, loss 994146699677240.9, f1 0.13577981651376145
Train mode: Epoch 8, loss 503680415364047.25, f1 0.34588530240477094
Validation mode: Epoch 8, loss 111618159542272.0, f1 0.22324263038548753
Train mode: Epoch 9, loss 451013243480746.7, f1 0.32051237556469475
Validation mode: Epoch 9, loss 1053581083468686.2, f1 0.13577981651376145
Train mode: Epoch 10, loss 505563831224612.56, f1 0.3438699974014821
Validation mode: Epoch 10, loss 214736844445013.34, f1 0.22085259373394964
Train mode: Epoch 11, loss 447685764304700.94, f1 0.34136285945830713
Validation mode: Epoch 11, loss 296408231269717.3, f1 0.2132785544763766
Train mode: Epoch 12, loss 469410625243428.56, f1 0.33738437456815684
Validation mode: Epoch 12, loss 201940686573112.88, f1 0.22505101884747658
Train mode: Epoch 13, loss 475893144173811.8, f1 0.33984683337892135
Validation mode: Epoch 13, loss 426770994968803.56, f1 0.13284132841328414
Train mode: Epoch 14, loss 499073317551347.8, f1 0.3221270452981438
Validation mode: Epoch 14, loss 107015674731633.78, f1 0.22119341563786007
Train mode: Epoch 15, loss 452928246844464.75, f1 0.32747590894369977
Validation mode: Epoch 15, loss 726373101120170.6, f1 0.13577981651376145
Train mode: Epoch 16, loss 491797079716815.25, f1 0.34588530240477094
Validation mode: Epoch 16, loss 259851845486364.44, f1 0.22085259373394964
Train mode: Epoch 17, loss 442009168105276.94, f1 0.34798156759777715
Validation mode: Epoch 17, loss 280277103993742.22, f1 0.22085259373394964
Train mode: Epoch 18, loss 491866540986172.94, f1 0.3126591677961362
Validation mode: Epoch 18, loss 245491009963804.44, f1 0.2985455352050193
Train mode: Epoch 19, loss 437082401213488.75, f1 0.3472546998625054
Validation mode: Epoch 19, loss 866241380555889.8, f1 0.13284132841328414
Train mode: Epoch 20, loss 483798140134546.3, f1 0.31943666816084076
Validation mode: Epoch 20, loss 208160387352348.44, f1 0.19974855252274606
