Dataset: Fi_ATSA 
Encoder_name: google-mobilebert-uncased 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 3.5556589535304477, f1 0.331530770004043
Validation mode: Epoch 1, loss 3.89654541015625, f1 0.2827917602850281
Train mode: Epoch 2, loss 2.7642639250982377, f1 0.3978203241791521
Validation mode: Epoch 2, loss 3.8680743906233044, f1 0.3246557578092794
Train mode: Epoch 3, loss 2.2586647385642644, f1 0.45223562753993446
Validation mode: Epoch 3, loss 2.792833778593275, f1 0.375505710594249
Train mode: Epoch 4, loss 1.890801923615592, f1 0.45345768749868487
Validation mode: Epoch 4, loss 2.9039090474446616, f1 0.3154484097741283
Train mode: Epoch 5, loss 1.6712760584695, f1 0.50019746874057
Validation mode: Epoch 5, loss 2.2365285555521646, f1 0.3693126520681265
Train mode: Epoch 6, loss 1.4160466364451818, f1 0.5162079983508555
Validation mode: Epoch 6, loss 1.887163307931688, f1 0.4014936386598271
Train mode: Epoch 7, loss 1.363512592656272, f1 0.5425240724222228
Validation mode: Epoch 7, loss 3.866949611239963, f1 0.2630958159707994
Train mode: Epoch 8, loss 1.399914182367779, f1 0.5194970243398797
Validation mode: Epoch 8, loss 1.7074208392037287, f1 0.43642506503426653
Train mode: Epoch 9, loss 1.2234836334273929, f1 0.5613099457498644
Validation mode: Epoch 9, loss 2.372417370478312, f1 0.35594775163346903
Train mode: Epoch 10, loss 1.2071695214226132, f1 0.5588890908341336
Validation mode: Epoch 10, loss 1.9482363197538588, f1 0.3988906331763475
Train mode: Epoch 11, loss 1.0445443335033597, f1 0.6109011548512735
Validation mode: Epoch 11, loss 1.8427762985229492, f1 0.4051749388129644
Train mode: Epoch 12, loss 0.9578472517785572, f1 0.62151230115198
Validation mode: Epoch 12, loss 1.5338372786839802, f1 0.43746227782461194
Train mode: Epoch 13, loss 1.0553574051175798, f1 0.6062313049643242
Validation mode: Epoch 13, loss 2.154285642835829, f1 0.3546557619360497
Train mode: Epoch 14, loss 1.001523799839474, f1 0.6025961863914495
Validation mode: Epoch 14, loss 1.4572471777598064, f1 0.5015314955123739
Train mode: Epoch 15, loss 0.9383916897433144, f1 0.632506397803757
Validation mode: Epoch 15, loss 1.5097566776805453, f1 0.46002489490124243
Train mode: Epoch 16, loss 1.0385141741661799, f1 0.6231484819113685
Validation mode: Epoch 16, loss 1.9856360620922513, f1 0.3935959830110587
Train mode: Epoch 17, loss 0.868197751896722, f1 0.6449267806039017
Validation mode: Epoch 17, loss 1.4370781977971394, f1 0.502586518478359
Train mode: Epoch 18, loss 0.8382014972823006, f1 0.658952070891001
Validation mode: Epoch 18, loss 1.311805976761712, f1 0.5068364814908594
Train mode: Epoch 19, loss 0.9310052394866943, f1 0.6414257400824237
Validation mode: Epoch 19, loss 1.7370303869247437, f1 0.40791354787266904
Train mode: Epoch 20, loss 0.8029071348054069, f1 0.6501867151528523
Validation mode: Epoch 20, loss 1.4466900891727872, f1 0.4601694665746648
