Dataset: Fi_ATSA 
Encoder_name: roberta-base 
Feature_type: cls
Batch_size: 50
Train mode: Epoch 1, loss 1.0625907750356764, f1 0.24833050642403157
Validation mode: Epoch 1, loss 1.0337795615196228, f1 0.2236024844720497
Train mode: Epoch 2, loss 1.0548584148997353, f1 0.23026857864221514
Validation mode: Epoch 2, loss 1.0514501333236694, f1 0.23022356600866356
Train mode: Epoch 3, loss 1.0502253345080785, f1 0.224345407678741
Validation mode: Epoch 3, loss 1.0423361129230924, f1 0.22919634464245917
Train mode: Epoch 4, loss 1.0534269355592274, f1 0.22791905760481035
Validation mode: Epoch 4, loss 1.0432019233703613, f1 0.22153846153846155
Train mode: Epoch 5, loss 1.0595355119024004, f1 0.22251539138082674
Validation mode: Epoch 5, loss 1.0468667215771146, f1 0.2232462877624168
Train mode: Epoch 6, loss 1.0552143653233845, f1 0.22251539138082674
Validation mode: Epoch 6, loss 1.0409948031107585, f1 0.22290388548057263
Train mode: Epoch 7, loss 1.0521238105637687, f1 0.22251539138082674
Validation mode: Epoch 7, loss 1.0399855176607768, f1 0.22290388548057263
Train mode: Epoch 8, loss 1.0497465587797619, f1 0.22251539138082674
Validation mode: Epoch 8, loss 1.0366795990202162, f1 0.22290388548057263
Train mode: Epoch 9, loss 1.0522898236910503, f1 0.22251539138082674
Validation mode: Epoch 9, loss 1.0452367464701335, f1 0.22290388548057263
Train mode: Epoch 10, loss 1.048949278536297, f1 0.22251539138082674
Validation mode: Epoch 10, loss 1.0405879086918302, f1 0.22290388548057263
Train mode: Epoch 11, loss 1.046650807062785, f1 0.22251539138082674
Validation mode: Epoch 11, loss 1.0477052132288616, f1 0.22290388548057263
Train mode: Epoch 12, loss 1.0487444485936845, f1 0.22251539138082674
Validation mode: Epoch 12, loss 1.0379604763454862, f1 0.22290388548057263
Train mode: Epoch 13, loss 1.0433534468923296, f1 0.22251539138082674
Validation mode: Epoch 13, loss 1.031891081068251, f1 0.22290388548057263
Train mode: Epoch 14, loss 1.0411713407153176, f1 0.22251539138082674
Validation mode: Epoch 14, loss 1.0305105249087017, f1 0.22290388548057263
Train mode: Epoch 15, loss 1.0418532263664972, f1 0.22251539138082674
Validation mode: Epoch 15, loss 1.0346282919247944, f1 0.22290388548057263
Train mode: Epoch 16, loss 1.0388497625078474, f1 0.22251539138082674
Validation mode: Epoch 16, loss 1.0285112129317389, f1 0.22290388548057263
Train mode: Epoch 17, loss 1.0432683229446411, f1 0.22251539138082674
Validation mode: Epoch 17, loss 1.0332582063145108, f1 0.22290388548057263
Train mode: Epoch 18, loss 1.0405804855482919, f1 0.22251539138082674
Validation mode: Epoch 18, loss 1.0266629060109456, f1 0.22290388548057263
Train mode: Epoch 19, loss 1.0409705809184484, f1 0.22251539138082674
Validation mode: Epoch 19, loss 1.0345466865433588, f1 0.22290388548057263
Train mode: Epoch 20, loss 1.0375098472549802, f1 0.22251539138082674
Validation mode: Epoch 20, loss 1.0323823822869196, f1 0.22290388548057263
