Dataset: Fi_ATSA 
Encoder_name: roberta-base 
Feature_type: mean
Batch_size: 50
Train mode: Epoch 1, loss 1.055533235981351, f1 0.25204862609258877
Validation mode: Epoch 1, loss 1.0405577156278822, f1 0.2386969562319485
Train mode: Epoch 2, loss 1.0454932763462974, f1 0.2594946980554584
Validation mode: Epoch 2, loss 1.0343438386917114, f1 0.2340216322517208
Train mode: Epoch 3, loss 1.034932900042761, f1 0.2566874988477776
Validation mode: Epoch 3, loss 1.0275522536701627, f1 0.2508605072463768
Train mode: Epoch 4, loss 1.0220629033588229, f1 0.260532440529509
Validation mode: Epoch 4, loss 1.0158576965332031, f1 0.23330984261216822
Train mode: Epoch 5, loss 1.0138488525436038, f1 0.2722427922023166
Validation mode: Epoch 5, loss 1.007689012421502, f1 0.3004552099946836
Train mode: Epoch 6, loss 1.0019726213954745, f1 0.2961439546578865
Validation mode: Epoch 6, loss 1.003924588362376, f1 0.2634963768115942
Train mode: Epoch 7, loss 0.9923301026934669, f1 0.31123737373737376
Validation mode: Epoch 7, loss 0.9904451171557108, f1 0.28654425538894496
Train mode: Epoch 8, loss 0.9879418497993833, f1 0.3084675952058619
Validation mode: Epoch 8, loss 0.9914390510982938, f1 0.29435611949780166
Train mode: Epoch 9, loss 0.9871934056282043, f1 0.31938527143097084
Validation mode: Epoch 9, loss 0.9803276326921251, f1 0.3055555555555556
Train mode: Epoch 10, loss 0.97887274764833, f1 0.3196997828357343
Validation mode: Epoch 10, loss 0.9798304173681471, f1 0.3068522868141188
Train mode: Epoch 11, loss 0.9696027948742821, f1 0.3365354429156792
Validation mode: Epoch 11, loss 0.9778199129634433, f1 0.3062787008083319
Train mode: Epoch 12, loss 0.9645984683718, f1 0.3503774757094545
Validation mode: Epoch 12, loss 0.9690515928798251, f1 0.34704010941634705
Train mode: Epoch 13, loss 0.9629155510947818, f1 0.3458832401761389
Validation mode: Epoch 13, loss 0.9645662837558322, f1 0.29709733740724575
Train mode: Epoch 14, loss 0.9573636509123302, f1 0.3485156634764614
Validation mode: Epoch 14, loss 0.9657596018579271, f1 0.3551176792556103
Train mode: Epoch 15, loss 0.9466845904077802, f1 0.3659279757992204
Validation mode: Epoch 15, loss 0.9600082304742601, f1 0.3588884574851628
Train mode: Epoch 16, loss 0.9428458667936779, f1 0.3766585556390331
Validation mode: Epoch 16, loss 0.9509950478871664, f1 0.32669246462349905
Train mode: Epoch 17, loss 0.9385327271052769, f1 0.3996240113307872
Validation mode: Epoch 17, loss 0.9499949481752183, f1 0.34719341005869864
Train mode: Epoch 18, loss 0.936162897518703, f1 0.37837987392080424
Validation mode: Epoch 18, loss 0.9431271685494317, f1 0.37402087435770087
Train mode: Epoch 19, loss 0.9285541034880138, f1 0.39198675276613687
Validation mode: Epoch 19, loss 0.9481020304891798, f1 0.3814713276643385
Train mode: Epoch 20, loss 0.9311789472897848, f1 0.43287400911294355
Validation mode: Epoch 20, loss 0.9451259043481615, f1 0.37409352285789765
